 WL        Abs       T%
 200.0  0.853171  14.022603
 201.0  0.824426  14.982156
 202.0  0.802356  15.763190
 203.0  0.771792  16.912506
 204.0  0.885025  13.030924
 205.0  0.812791  15.388964
 206.0  0.915557  12.146281
 207.0  0.891139  12.848766
 208.0  0.986096  10.325325
 209.0  0.944184  11.371449
 210.0  1.037927   9.163750
 211.0  0.996410  10.083011
 212.0  0.919744  12.029719
 213.0  1.021276   9.521898
 214.0  0.948352  11.262839
 215.0  1.123999   7.516254
 216.0  1.113633   7.697806
 217.0  1.153437   7.023648
 218.0  1.174448   6.691939
 219.0  0.968229  10.758970
 220.0  1.077748   8.360881
 221.0  0.979549  10.482159
 222.0  1.082398   8.271839
 223.0  1.087103   8.182709
 224.0  0.936283  11.580225
 225.0  1.183277   6.557272
 226.0  1.146714   7.133221
 227.0  1.233539   5.840644
 228.0  1.156787   6.969690
 229.0  0.987757  10.285923
 230.0  1.100262   7.938495
 231.0  0.993911  10.141197
 232.0  1.193321   6.407362
 233.0  1.150698   7.068094
 234.0  1.161707   6.891166
 235.0  1.201502   6.287795
 236.0  1.057438   8.761160
 237.0  1.204588   6.243271
 238.0  1.151175   7.060336
 239.0  1.168845   6.778835
 240.0  1.129158   7.427480
 241.0  1.150824   7.066037
 242.0  1.125322   7.493389
 243.0  1.028217   9.370945
 244.0  1.154773   7.002083
 245.0  1.028560   9.363548
 246.0  1.157000   6.966266
 247.0  1.127173   7.461507
 248.0  1.161016   6.902146
 249.0  1.169114   6.774642
 250.0  1.197681   6.343354
 251.0  1.175666   6.673193
 252.0  1.236663   5.798782
 253.0  1.033744   9.252444
 254.0  1.132679   7.367515
 255.0  1.124583   7.506148
 256.0  1.233884   5.836015
 257.0  1.105479   7.843696
 258.0  1.147787   7.115617
 259.0  1.175004   6.683379
 260.0  1.207264   6.204916
 261.0  1.176151   6.665744
 262.0  1.049122   8.930539
 263.0  1.155468   6.990889
 264.0  1.138058   7.276831
 265.0  1.114167   7.688344
 266.0  1.103034   7.887979
 267.0  1.042493   9.067908
 268.0  1.052249   8.866467
 269.0  1.022333   9.498767
 270.0  0.943971  11.377022
 271.0  0.925912  11.860086
 272.0  0.894838  12.739786
 273.0  0.877136  13.269778
 274.0  0.867908  13.554750
 275.0  0.846446  14.241446
 276.0  0.861244  13.764349
 277.0  0.864412  13.664310
 278.0  0.854657  13.974730
 279.0  0.862774  13.715968
 280.0  0.870314  13.479876
 281.0  0.861243  13.764391
 282.0  0.861368  13.760439
 283.0  0.868740  13.528824
 284.0  0.877605  13.255452
 285.0  0.881417  13.139625
 286.0  0.880892  13.155519
 287.0  0.883710  13.070430
 288.0  0.889078  12.909873
 289.0  0.895133  12.731117
 290.0  0.902136  12.527479
 291.0  0.912428  12.234089
 292.0  0.918011  12.077837
 293.0  0.930209  11.743312
 294.0  0.947921  11.274024
 295.0  0.965899  10.816867
 296.0  0.992912  10.164545
 297.0  1.039229   9.136318
 298.0  0.954050  11.116035
 299.0  0.955158  11.087714
 300.0  0.960088  10.962569
 301.0  0.965039  10.838292
 302.0  0.965980  10.814839
 303.0  0.971704  10.673227
 304.0  0.975435  10.581926
 305.0  0.980610  10.456582
 306.0  0.985226  10.346041
 307.0  0.989176  10.252371
 308.0  0.993682  10.146532
 309.0  0.999753  10.005700
 310.0  1.003399   9.922029
 311.0  1.026927   9.398810
 312.0  1.034547   9.235346
 313.0  1.041542   9.087783
 314.0  1.044957   9.016596
 315.0  1.049483   8.923132
 316.0  1.055930   8.791642
 317.0  1.059360   8.722475
 318.0  1.065678   8.596509
 319.0  1.070165   8.508156
 320.0  1.074715   8.419479
 321.0  1.077070   8.373948
 322.0  1.083443   8.251964
 323.0  1.084917   8.223999
 324.0  1.090442   8.120040
 325.0  1.090862   8.112189
 326.0  1.094805   8.038865
 327.0  1.097873   7.982275
 328.0  1.098456   7.971565
 329.0  1.100881   7.927192
 330.0  1.101496   7.915972
 331.0  1.101899   7.908631
 332.0  1.103083   7.887085
 333.0  1.101270   7.920089
 334.0  1.100882   7.927166
 335.0  1.098490   7.970953
 336.0  1.094019   8.053425
 337.0  1.090741   8.114456
 338.0  1.083508   8.250723
 339.0  1.001058   9.975679
 340.0  1.079400   8.329136
 341.0  1.013805   9.687135
 342.0  1.028192   9.371475
 343.0  0.945729  11.331062
 344.0  0.855404  13.950700
 345.0  0.986768  10.309378
 346.0  0.887075  12.969562
 347.0  1.038244   9.157068
 348.0  0.980832  10.451253
 349.0  1.009383   9.786266
 350.0  1.007080   9.838297
 351.0  1.051546   8.880833
 352.0  0.998643  10.031300
 353.0  0.894773  12.741699
 354.0  1.030542   9.320910
 355.0  0.954284  11.110044
 356.0  1.003971   9.908974
 357.0  0.933357  11.658522
 358.0  1.004903   9.887748
 359.0  0.909774  12.309083
 360.0  0.981490  10.435412
 361.0  0.974561  10.603242
 362.0  1.008401   9.808415
 363.0  0.954391  11.107301
 364.0  0.996965  10.070122
