 WL        Abs       T%
 200.0  0.221252  60.082455
 201.0  0.186394  65.103767
 202.0  0.199942  63.104111
 203.0  0.184619  65.370331
 204.0  0.187524  64.934616
 205.0  0.200087  63.083084
 206.0  0.221731  60.016327
 207.0  0.197627  63.441425
 208.0  0.233685  58.386810
 209.0  0.215890  60.828880
 210.0  0.222610  59.894970
 211.0  0.195127  63.807652
 212.0  0.163037  68.700981
 213.0  0.215116  60.937359
 214.0  0.214952  60.960445
 215.0  0.177832  66.399918
 216.0  0.181503  65.841080
 217.0  0.155058  69.974930
 218.0  0.182534  65.684898
 219.0  0.188449  64.796448
 220.0  0.170882  67.471191
 221.0  0.195238  63.791309
 222.0  0.174474  66.915367
 223.0  0.179007  66.220535
 224.0  0.176846  66.550850
 225.0  0.206856  62.107441
 226.0  0.206929  62.097042
 227.0  0.211678  61.421772
 228.0  0.203842  62.540081
 229.0  0.216561  60.735050
 230.0  0.215958  60.819366
 231.0  0.206431  62.168297
 232.0  0.224598  59.621418
 233.0  0.220954  60.123783
 234.0  0.236351  58.029568
 235.0  0.233105  58.464813
 236.0  0.218706  60.435776
 237.0  0.222377  59.927071
 238.0  0.206089  62.217274
 239.0  0.217621  60.586910
 240.0  0.219867  60.274384
 241.0  0.203158  62.638592
 242.0  0.214945  60.961399
 243.0  0.234051  58.337708
 244.0  0.193938  63.982544
 245.0  0.251074  56.095230
 246.0  0.208960  61.807392
 247.0  0.201459  62.884064
 248.0  0.191029  64.412666
 249.0  0.228210  59.127522
 250.0  0.255066  55.582020
 251.0  0.216833  60.697002
 252.0  0.237820  57.833599
 253.0  0.210854  61.538433
 254.0  0.229459  58.957771
 255.0  0.243314  57.106621
 256.0  0.220631  60.168472
 257.0  0.245989  56.755856
 258.0  0.253512  55.781170
 259.0  0.230204  58.856777
 260.0  0.243529  57.078316
 261.0  0.229320  58.976582
 262.0  0.244090  57.004601
 263.0  0.243263  57.113312
 264.0  0.240080  57.533459
 265.0  0.267065  54.067379
 266.0  0.286876  51.656418
 267.0  0.299830  50.138393
 268.0  0.322854  47.549488
 269.0  0.363408  43.310421
 270.0  0.371838  42.477791
 271.0  0.416442  38.331699
 272.0  0.435625  36.675434
 273.0  0.465442  34.241936
 274.0  0.489077  32.428196
 275.0  0.502279  31.457239
 276.0  0.529750  29.529055
 277.0  0.544124  28.567778
 278.0  0.551529  28.084751
 279.0  0.562461  27.386684
 280.0  0.572539  26.758463
 281.0  0.579734  26.318811
 282.0  0.586612  25.905249
 283.0  0.594493  25.439421
 284.0  0.598474  25.207300
 285.0  0.604168  24.878965
 286.0  0.612299  24.417503
 287.0  0.617079  24.150227
 288.0  0.625676  23.676853
 289.0  0.632441  23.310902
 290.0  0.638934  22.964989
 291.0  0.645388  22.626232
 292.0  0.655408  22.110176
 293.0  0.664470  21.653603
 294.0  0.675598  21.105820
 295.0  0.687698  20.525896
 296.0  0.702628  19.832245
 297.0  0.726804  18.758408
 298.0  0.698953  20.000782
 299.0  0.706833  19.641165
 300.0  0.713482  19.342733
 301.0  0.718653  19.113794
 302.0  0.725637  18.808895
 303.0  0.732346  18.520548
 304.0  0.739145  18.232872
 305.0  0.746746  17.916527
 306.0  0.754365  17.604965
 307.0  0.762207  17.289919
 308.0  0.769049  17.019676
 309.0  0.773848  16.832619
 310.0  0.778837  16.640358
 311.0  0.807766  15.568035
 312.0  0.816541  15.256637
 313.0  0.823419  15.016909
 314.0  0.831839  14.728598
 315.0  0.841838  14.393362
 316.0  0.849844  14.130440
 317.0  0.856061  13.929605
 318.0  0.863197  13.702590
 319.0  0.870673  13.468742
 320.0  0.875155  13.330461
 321.0  0.880393  13.170647
 322.0  0.886923  12.974087
 323.0  0.890750  12.860259
 324.0  0.893922  12.766678
 325.0  0.898372  12.636526
 326.0  0.901885  12.534726
 327.0  0.903062  12.500799
 328.0  0.905876  12.420057
 329.0  0.908305  12.350786
 330.0  0.908181  12.354333
 331.0  0.909077  12.328864
 332.0  0.910326  12.293446
 333.0  0.909147  12.326884
 334.0  0.907735  12.367008
 335.0  0.905975  12.417228
 336.0  0.904169  12.468969
 337.0  0.901520  12.545262
 338.0  0.896575  12.688917
 339.0  0.835897  14.591588
 340.0  0.142070  72.099136
 341.0  0.150924  70.644180
 342.0  0.189067  64.704292
 343.0  0.135885  73.133293
 344.0  0.131712  73.839317
 345.0  0.119941  75.867981
 346.0  0.132267  73.745094
 347.0  0.180948  65.925209
 348.0  0.142711  71.992722
 349.0  0.142894  71.962532
 350.0  0.182390  65.706741
 351.0  0.193741  64.011620
 352.0  0.189832  64.590393
 353.0  0.199419  63.180248
 354.0  0.221004  60.116802
 355.0  0.232003  58.613384
 356.0  0.267659  53.993401
 357.0  0.269588  53.754166
 358.0  0.285344  51.838898
 359.0  0.292470  50.995327
 360.0  0.320171  47.844143
 361.0  0.337483  45.974506
 362.0  0.377269  41.949883
 363.0  0.373104  42.354107
 364.0  0.402931  39.542969
 365.0  0.412099  38.716957
 366.0  0.430885  37.077862
 367.0  0.451838  35.331463
 368.0  0.461167  34.580677
 369.0  0.453809  35.171467
 370.0  0.417198  38.264988
 371.0  0.229264  58.984257
 372.0  0.202605  62.718456
 373.0  0.194202  63.943745
 374.0  0.201200  62.921600
 375.0  0.190449  64.498741
 376.0  0.175621  66.738907
 377.0  0.196624  63.588184
 378.0  0.238409  57.755230
 379.0  0.182021  65.762672
 380.0  0.210793  61.547012
 381.0  0.206078  62.218914
 382.0  0.236933  57.951859
 383.0  0.199216  63.209774
 384.0  0.235102  58.196613
 385.0  0.209267  61.763672
 386.0  0.211962  61.381573
 387.0  0.190096  64.551170
 388.0  0.228355  59.107822
 389.0  0.197380  63.477551
 390.0  0.208735  61.839413
 391.0  0.209254  61.765450
 392.0  0.169342  67.710838
 393.0  0.164114  68.530777
 394.0  0.210010  61.658142
 395.0  0.234757  58.242844
 396.0  0.263651  54.494007
 397.0  0.254007  55.717709
 398.0  0.322586  47.578838
 399.0  0.346261  45.054569
 400.0  0.415419  38.422073
 401.0  0.466975  34.121239
 402.0  0.513211  30.675287
 403.0  0.587544  25.849710
 404.0  0.621013  23.932465
 405.0  0.679099  20.936354
 406.0  0.703682  19.784168
 407.0  0.749662  17.796633
 408.0  0.765985  17.140169
 409.0  0.803045  15.738196
 410.0  0.815748  15.284515
 411.0  0.846990  14.223608
 412.0  0.855568  13.945436
 413.0  0.877559  13.256865
 414.0  0.891043  12.851588
 415.0  0.898575  12.630624
 416.0  0.914104  12.186984
 417.0  0.928401  11.792323
 418.0  0.931770  11.701183
 419.0  0.941460  11.443011
 420.0  0.956674  11.049066
 421.0  0.965534  10.825948
 422.0  0.972169  10.661814
 423.0  0.988164  10.276286
 424.0  0.992442  10.175561
 425.0  1.008404   9.808343
 426.0  1.019121   9.569265
 427.0  1.037865   9.165055
 428.0  1.067829   8.554044
 429.0  1.097473   7.989645
 430.0  1.153447   7.023494
 431.0  1.046767   8.979112
 432.0  1.048570   8.941908
 433.0  1.045350   9.008445
 434.0  1.049764   8.917346
 435.0  1.049721   8.918227
 436.0  1.051864   8.874338
 437.0  1.053363   8.843769
 438.0  1.052364   8.864130
 439.0  1.055861   8.793049
 440.0  1.056080   8.788604
 441.0  1.054338   8.823935
 442.0  1.056016   8.789907
 443.0  1.054414   8.822384
 444.0  1.052493   8.861503
 445.0  1.053355   8.843929
 446.0  1.050749   8.897145
 447.0  1.045660   9.002013
 448.0  1.037116   9.180872
 449.0  1.027254   9.391742
 450.0  1.008562   9.804790
 451.0  0.878759  13.220304
 452.0  0.883755  13.069080
 453.0  0.900040  12.588094
 454.0  0.903273  12.494744
 455.0  0.916024  12.133219
 456.0  0.923764  11.918885
 457.0  0.929234  11.769722
 458.0  0.944596  11.360663
 459.0  0.952429  11.157613
 460.0  0.970984  10.690940
 461.0  0.987101  10.301469
 462.0  1.014958   9.661446
 463.0  1.037534   9.172031
 464.0  1.078147   8.353194
 465.0  1.136183   7.308310
 466.0  1.038815   9.145032
 467.0  1.045503   9.005270
 468.0  1.046996   8.974371
 469.0  1.055368   8.803035
 470.0  1.055681   8.796692
 471.0  1.057811   8.753649
 472.0  1.064186   8.626091
 473.0  1.064714   8.615605
 474.0  1.066524   8.579772
 475.0  1.069882   8.513700
 476.0  1.068566   8.539527
 477.0  1.081016   8.298207
 478.0  1.077714   8.361533
 479.0  1.074334   8.426870
 480.0  1.074310   8.427331
 481.0  1.067872   8.553189
