 WL        Abs       T%
 200.0  0.152785  70.341980
 201.0  0.135590  73.182892
 202.0  0.134563  73.356277
 203.0  0.144028  71.774750
 204.0  0.130472  74.050568
 205.0  0.144238  71.740105
 206.0  0.143721  71.825478
 207.0  0.145519  71.528748
 208.0  0.167246  68.038391
 209.0  0.166641  68.133194
 210.0  0.189517  64.637245
 211.0  0.152499  70.388351
 212.0  0.142987  71.946968
 213.0  0.171813  67.326683
 214.0  0.164186  68.519417
 215.0  0.152375  70.408432
 216.0  0.151862  70.491760
 217.0  0.116349  76.498146
 218.0  0.150975  70.635841
 219.0  0.150578  70.700439
 220.0  0.153419  70.239433
 221.0  0.133612  73.517029
 222.0  0.150225  70.757904
 223.0  0.142511  72.025970
 224.0  0.143505  71.861214
 225.0  0.161371  68.965042
 226.0  0.139254  72.568146
 227.0  0.181374  65.860710
 228.0  0.158312  69.452545
 229.0  0.165282  68.346809
 230.0  0.184168  65.438354
 231.0  0.163441  68.637161
 232.0  0.173026  67.138893
 233.0  0.205307  62.329422
 234.0  0.197167  63.508732
 235.0  0.187341  64.961906
 236.0  0.185172  65.287125
 237.0  0.191001  64.416824
 238.0  0.167647  67.975533
 239.0  0.170720  67.496254
 240.0  0.185561  65.228752
 241.0  0.169762  67.645302
 242.0  0.189128  64.695129
 243.0  0.195194  63.797791
 244.0  0.156388  69.760956
 245.0  0.206243  62.195248
 246.0  0.173987  66.990479
 247.0  0.189752  64.602325
 248.0  0.176048  66.673264
 249.0  0.195783  63.711342
 250.0  0.206282  62.189579
 251.0  0.190498  64.491501
 252.0  0.199798  63.125141
 253.0  0.164490  68.471512
 254.0  0.203360  62.609524
 255.0  0.199600  63.153946
 256.0  0.189632  64.620186
 257.0  0.205892  62.245529
 258.0  0.223494  59.773140
 259.0  0.204685  62.418777
 260.0  0.211273  61.479069
 261.0  0.209520  61.727654
 262.0  0.226005  59.428471
 263.0  0.223075  59.830856
 264.0  0.221969  59.983437
 265.0  0.253839  55.739216
 266.0  0.261639  54.747040
 267.0  0.285072  51.871391
 268.0  0.301954  49.893757
 269.0  0.365235  43.128601
 270.0  0.395314  40.242577
 271.0  0.436555  36.596977
 272.0  0.481866  32.971161
 273.0  0.514973  30.551100
 274.0  0.540971  28.775927
