 WL        Abs       T%
 200.0  0.683074  20.745623
 201.0  0.695039  20.181845
 202.0  0.701508  19.883444
 203.0  0.707441  19.613693
 204.0  0.713813  19.327990
 205.0  0.721099  19.006464
 206.0  0.730348  18.605972
 207.0  0.740345  18.182554
 208.0  0.748333  17.851164
 209.0  0.757461  17.479910
 210.0  0.768474  17.042219
 211.0  0.783343  16.468609
 212.0  0.799591  15.863853
 213.0  0.821190  15.094205
 214.0  0.852426  14.046700
 215.0  0.811654  15.429276
 216.0  0.817745  15.214411
 217.0  0.823635  15.009471
 218.0  0.828069  14.856980
 219.0  0.834979  14.622489
 220.0  0.840348  14.442828
 221.0  0.848281  14.181384
 222.0  0.855592  13.944654
 223.0  0.863100  13.705648
 224.0  0.869052  13.519120
 225.0  0.877344  13.263423
 226.0  0.882929  13.093953
 227.0  0.886131  12.997773
 228.0  0.918623  12.060812
 229.0  0.926375  11.847452
 230.0  0.934332  11.632355
 231.0  0.941805  11.433916
 232.0  0.949374  11.236380
 233.0  0.955029  11.091017
 234.0  0.962401  10.904329
 235.0  0.967633  10.773741
 236.0  0.973621  10.626216
 237.0  0.979892  10.473892
 238.0  0.983502  10.387179
 239.0  0.989059  10.255118
 240.0  0.992132  10.182811
 241.0  0.995981  10.092959
 242.0  0.999287  10.016422
 243.0  1.000484   9.988862
 244.0  1.002372   9.945534
 245.0  1.005562   9.872737
 246.0  1.008192   9.813142
 247.0  1.007717   9.823881
 248.0  1.009556   9.782361
 249.0  1.008917   9.796773
 250.0  1.008460   9.807091
 251.0  1.008910   9.796921
 252.0  1.009281   9.788571
 253.0  1.009163   9.791213
 254.0  1.007014   9.839804
 255.0  1.007019   9.839674
 256.0  1.007336   9.832503
 257.0  1.003673   9.915781
 258.0  1.002212   9.949206
 259.0  1.002380   9.945348
 260.0  1.000798   9.981650
 261.0  0.996829  10.073281
 262.0  0.996636  10.077770
 263.0  0.995070  10.114176
 264.0  0.993082  10.160562
 265.0  0.992282  10.179304
 266.0  0.988439  10.269766
 267.0  0.986614  10.313024
 268.0  0.984337  10.367231
 269.0  0.984535  10.362514
 270.0  0.984166  10.371330
 271.0  0.982294  10.416116
 272.0  0.981431  10.436842
 273.0  0.982125  10.420185
 274.0  0.981828  10.427306
 275.0  0.983005  10.399093
 276.0  0.985355  10.342960
 277.0  0.985119  10.348577
 278.0  0.985773  10.333006
 279.0  0.987226  10.298503
 280.0  0.990228  10.227566
 281.0  0.993863  10.142304
 282.0  0.992219  10.180782
 283.0  0.993917  10.141055
 284.0  0.997233  10.063910
 285.0  0.999454  10.012571
 286.0  1.000262   9.993966
 287.0  1.000724   9.983350
 288.0  1.004249   9.902636
 289.0  1.006961   9.840992
 290.0  1.007325   9.832760
 291.0  1.007619   9.826100
 292.0  1.009366   9.786648
 293.0  1.009815   9.776531
 294.0  1.011578   9.736933
 295.0  1.013526   9.693351
 296.0  1.014400   9.673862
 297.0  1.013834   9.686478
 298.0  1.013941   9.684085
 299.0  1.013343   9.697435
 300.0  1.014573   9.670010
 301.0  1.015857   9.641459
 302.0  1.015697   9.645022
 303.0  1.014830   9.664289
 304.0  1.014780   9.665398
 305.0  1.015054   9.659319
 306.0  1.016084   9.636427
 307.0  1.018116   9.591450
