 WL        Abs       T%
 200.0  0.869304  13.511273
 201.0  0.875899  13.307632
 202.0  0.882663  13.101971
 203.0  0.889494  12.897519
 204.0  0.896094  12.702996
 205.0  0.899868  12.593078
 206.0  0.910260  12.295312
 207.0  0.919821  12.027596
 208.0  0.927122  11.827096
 209.0  0.939139  11.504328
 210.0  0.952559  11.154269
 211.0  0.971874  10.669059
 212.0  0.992168  10.181984
 213.0  1.023811   9.466496
 214.0  1.074081   8.431767
 215.0  0.988920  10.258418
 216.0  0.995575  10.102406
 217.0  0.996823  10.073414
 218.0  1.001041   9.976066
 219.0  1.007007   9.839942
 220.0  1.010988   9.750166
 221.0  1.016160   9.634750
 222.0  1.020998   9.528016
 223.0  1.025628   9.426966
 224.0  1.030981   9.311480
 225.0  1.037208   9.178932
 226.0  1.043226   9.052607
 227.0  1.045715   9.000889
 228.0  1.082310   8.273517
 229.0  1.084839   8.225482
 230.0  1.093710   8.059156
 231.0  1.100188   7.939844
 232.0  1.103922   7.871871
 233.0  1.109483   7.771709
 234.0  1.116379   7.649290
 235.0  1.119334   7.597424
 236.0  1.123654   7.522215
 237.0  1.131953   7.379849
 238.0  1.134052   7.344263
 239.0  1.136606   7.301202
 240.0  1.140838   7.230390
 241.0  1.145500   7.153187
 242.0  1.147277   7.123987
 243.0  1.150141   7.077158
 244.0  1.153318   7.025570
 245.0  1.155651   6.987934
 246.0  1.154745   7.002534
 247.0  1.159037   6.933663
 248.0  1.158114   6.948414
 249.0  1.159551   6.925460
 250.0  1.160999   6.902417
 251.0  1.162559   6.877664
 252.0  1.163520   6.862457
 253.0  1.161252   6.898401
 254.0  1.161201   6.899208
 255.0  1.161496   6.894523
 256.0  1.162706   6.875342
 257.0  1.160779   6.905908
 258.0  1.159581   6.924986
 259.0  1.159036   6.933684
 260.0  1.158123   6.948282
 261.0  1.155324   6.993201
 262.0  1.154165   7.011896
 263.0  1.155145   6.996089
 264.0  1.154780   7.001971
 265.0  1.151229   7.059453
 266.0  1.154010   7.014394
 267.0  1.149474   7.088043
 268.0  1.150001   7.079441
 269.0  1.150965   7.063737
 270.0  1.146383   7.138672
 271.0  1.148296   7.107287
 272.0  1.149466   7.088165
 273.0  1.150032   7.078941
 274.0  1.150479   7.071661
 275.0  1.147619   7.118375
 276.0  1.147012   7.128329
 277.0  1.150309   7.074423
 278.0  1.152502   7.038795
 279.0  1.151941   7.047895
 280.0  1.152327   7.041622
 281.0  1.153934   7.015625
 282.0  1.157324   6.961063
 283.0  1.156770   6.969955
 284.0  1.156265   6.978066
 285.0  1.158965   6.934815
 286.0  1.160671   6.907627
 287.0  1.159883   6.920179
 288.0  1.163466   6.863322
 289.0  1.166797   6.810874
 290.0  1.165706   6.828005
 291.0  1.164460   6.847619
 292.0  1.166818   6.810554
 293.0  1.168310   6.787187
 294.0  1.166543   6.814861
 295.0  1.167089   6.806304
 296.0  1.170265   6.756712
 297.0  1.170284   6.756413
 298.0  1.167542   6.799203
 299.0  1.170027   6.760406
 300.0  1.170388   6.754797
 301.0  1.167728   6.796294
 302.0  1.169032   6.775910
 303.0  1.171860   6.731944
 304.0  1.170033   6.760324
 305.0  1.169458   6.769274
 306.0  1.170521   6.752716
 307.0  1.173456   6.707236
 308.0  1.175785   6.671365
 309.0  1.174232   6.695269
 310.0  1.174786   6.686732
 311.0  1.180226   6.603503
 312.0  1.179165   6.619657
 313.0  1.180991   6.591877
 314.0  1.185538   6.523219
 315.0  1.189342   6.466331
 316.0  1.189200   6.468448
 317.0  1.196032   6.367484
 318.0  1.196915   6.354558
 319.0  1.201675   6.285283
 320.0  1.204848   6.239531
 321.0  1.205934   6.223948
 322.0  1.209166   6.177805
 323.0  1.215009   6.095238
 324.0  1.217677   6.057908
 325.0  1.218474   6.046812
 326.0  1.221849   5.999990
 327.0  1.223989   5.970507
 328.0  1.222137   5.996016
 329.0  1.208922   6.181279
 330.0  1.211036   6.151259
 331.0  1.211248   6.148253
 332.0  1.210768   6.155063
 333.0  1.209965   6.166452
