 WL        Abs       T%
 200.0  0.607961  24.662598
 201.0  0.618520  24.070189
 202.0  0.624787  23.725372
 203.0  0.631992  23.334991
 204.0  0.638528  22.986467
 205.0  0.645017  22.645580
 206.0  0.654196  22.171967
 207.0  0.663252  21.714420
 208.0  0.670566  21.351795
 209.0  0.679502  20.916916
 210.0  0.690325  20.402122
 211.0  0.702476  19.839186
 212.0  0.717436  19.167437
 213.0  0.735500  18.386520
 214.0  0.759200  17.410046
 215.0  0.734030  18.448870
 216.0  0.741892  18.117928
 217.0  0.748357  17.850214
 218.0  0.754268  17.608908
 219.0  0.762494  17.278505
 220.0  0.768545  17.039421
 221.0  0.777391  16.695866
 222.0  0.783528  16.461582
 223.0  0.792054  16.141594
 224.0  0.800448  15.832593
 225.0  0.807706  15.570189
 226.0  0.813201  15.374435
 227.0  0.818636  15.183209
 228.0  0.850574  14.106710
 229.0  0.859951  13.805411
 230.0  0.867664  13.562387
 231.0  0.877090  13.271188
 232.0  0.885575  13.014435
 233.0  0.892997  12.793915
 234.0  0.899309  12.609310
 235.0  0.906292  12.408182
 236.0  0.914009  12.189644
 237.0  0.918726  12.057956
 238.0  0.923519  11.925611
 239.0  0.930171  11.744340
 240.0  0.932691  11.676398
 241.0  0.936878  11.564378
 242.0  0.941062  11.453485
 243.0  0.944064  11.374593
 244.0  0.945357  11.340779
 245.0  0.946704  11.305661
 246.0  0.948862  11.249621
 247.0  0.951424  11.183452
 248.0  0.951248  11.187978
 249.0  0.951410  11.183821
 250.0  0.952768  11.148888
 251.0  0.952833  11.147221
 252.0  0.952366  11.159237
 253.0  0.950749  11.200840
 254.0  0.949632  11.229694
 255.0  0.949514  11.232740
 256.0  0.948065  11.270280
 257.0  0.945243  11.343762
 258.0  0.943586  11.387111
 259.0  0.942756  11.408898
 260.0  0.939392  11.497609
 261.0  0.938313  11.526232
 262.0  0.936427  11.576380
 263.0  0.933459  11.655776
 264.0  0.930555  11.733981
 265.0  0.929301  11.767891
 266.0  0.926900  11.833133
 267.0  0.923570  11.924223
 268.0  0.922215  11.961495
 269.0  0.920839  11.999432
 270.0  0.919065  12.048563
 271.0  0.919036  12.049356
 272.0  0.916925  12.108084
 273.0  0.917003  12.105906
 274.0  0.918764  12.056910
 275.0  0.919995  12.022780
 276.0  0.918402  12.066955
 277.0  0.920824  11.999854
 278.0  0.924380  11.901999
 279.0  0.923874  11.915879
 280.0  0.928802  11.781439
 281.0  0.930054  11.747519
 282.0  0.931873  11.698405
 283.0  0.934709  11.622272
 284.0  0.936915  11.563394
 285.0  0.938251  11.527877
 286.0  0.943515  11.388992
 287.0  0.944391  11.366026
 288.0  0.948503  11.258921
 289.0  0.951434  11.183207
 290.0  0.953119  11.139885
 291.0  0.955535  11.078082
 292.0  0.959408  10.979732
 293.0  0.961262  10.932979
 294.0  0.962299  10.906883
 295.0  0.964679  10.847286
 296.0  0.966799  10.794453
 297.0  0.966832  10.793638
 298.0  0.968251  10.758427
 299.0  0.970920  10.692519
 300.0  0.972497  10.653774
 301.0  0.972578  10.651769
 302.0  0.974326  10.608977
 303.0  0.975675  10.576081
 304.0  0.976030  10.567449
 305.0  0.978479  10.508014
 306.0  0.980117  10.468472
 307.0  0.980726  10.453804
 308.0  0.982775  10.404583
 309.0  0.985233  10.345874
 310.0  0.985649  10.335967
 311.0  0.988561  10.266889
 312.0  0.991224  10.204126
 313.0  0.992929  10.164154
 314.0  0.996496  10.081010
 315.0  0.998369  10.037638
 316.0  1.001519   9.965080
 317.0  1.006865   9.843164
 318.0  1.008757   9.800380
 319.0  1.011142   9.746709
 320.0  1.016317   9.631266
