 WL        Abs       T%
 200.0  0.628772  23.508640
 201.0  0.634131  23.220339
 202.0  0.641971  22.804937
 203.0  0.648256  22.477314
 204.0  0.652736  22.246639
 205.0  0.659768  21.889296
 206.0  0.667994  21.478624
 207.0  0.676342  21.069672
 208.0  0.682423  20.776703
 209.0  0.691516  20.346226
 210.0  0.701974  19.862137
 211.0  0.714543  19.295553
 212.0  0.728347  18.691862
 213.0  0.748343  17.850758
 214.0  0.773232  16.856510
 215.0  0.742445  18.094851
 216.0  0.749968  17.784122
 217.0  0.755996  17.538961
 218.0  0.761643  17.312397
 219.0  0.768787  17.029930
 220.0  0.776898  16.714849
 221.0  0.784527  16.423759
 222.0  0.792010  16.143229
 223.0  0.799047  15.883766
 224.0  0.805991  15.631816
 225.0  0.813677  15.357589
 226.0  0.821072  15.098311
 227.0  0.825049  14.960684
 228.0  0.857961  13.868802
 229.0  0.867941  13.553749
 230.0  0.876033  13.303535
 231.0  0.884544  13.045347
 232.0  0.892829  12.798840
 233.0  0.901570  12.543823
 234.0  0.907508  12.373480
 235.0  0.915243  12.155069
 236.0  0.921549  11.979834
 237.0  0.926408  11.846561
 238.0  0.931070  11.720056
 239.0  0.937142  11.557343
 240.0  0.940727  11.462323
 241.0  0.943562  11.387754
 242.0  0.948106  11.269213
 243.0  0.951524  11.180871
 244.0  0.952495  11.155923
 245.0  0.954081  11.115252
 246.0  0.957976  11.015999
 247.0  0.957858  11.018987
 248.0  0.958405  11.005128
 249.0  0.960288  10.957503
 250.0  0.960776  10.945214
 251.0  0.959353  10.981136
 252.0  0.958728  10.996944
 253.0  0.959349  10.981226
 254.0  0.958399  11.005267
 255.0  0.956514  11.053154
 256.0  0.954882  11.094774
 257.0  0.954595  11.102091
 258.0  0.952806  11.147927
 259.0  0.949480  11.233635
 260.0  0.948375  11.262237
 261.0  0.946267  11.317040
 262.0  0.943378  11.392572
 263.0  0.941821  11.433508
 264.0  0.939922  11.483590
 265.0  0.936407  11.576917
 266.0  0.935675  11.596441
 267.0  0.931991  11.695230
 268.0  0.930066  11.747188
 269.0  0.929448  11.763922
 270.0  0.927421  11.818947
 271.0  0.928557  11.788087
 272.0  0.925925  11.859722
 273.0  0.925953  11.858967
 274.0  0.928279  11.795625
 275.0  0.928588  11.787246
 276.0  0.928970  11.776861
 277.0  0.930172  11.744328
 278.0  0.932410  11.683958
 279.0  0.933516  11.654237
 280.0  0.936401  11.577069
 281.0  0.939083  11.505805
 282.0  0.942544  11.414468
 283.0  0.945438  11.338660
 284.0  0.946021  11.323466
 285.0  0.950625  11.204054
 286.0  0.952574  11.153869
 287.0  0.954913  11.093958
 288.0  0.959458  10.978466
 289.0  0.961034  10.938708
 290.0  0.965446  10.828132
 291.0  0.968199  10.759721
 292.0  0.969690  10.722836
 293.0  0.971794  10.671010
 294.0  0.975276  10.585811
 295.0  0.975807  10.572877
 296.0  0.978765  10.501101
 297.0  0.980405  10.461526
 298.0  0.980762  10.452934
 299.0  0.983351  10.390803
 300.0  0.983493  10.387393
 301.0  0.983948  10.376515
 302.0  0.987389  10.294625
 303.0  0.988817  10.260839
 304.0  0.989519  10.244281
 305.0  0.991414  10.199668
 306.0  0.991661  10.193869
 307.0  0.994419  10.129326
 308.0  0.996976  10.069870
 309.0  0.997562  10.056302
 310.0  1.000860   9.980218
 311.0  1.003390   9.922244
 312.0  1.004563   9.895484
 313.0  1.007804   9.821913
 314.0  1.010521   9.760652
 315.0  1.015605   9.647051
 316.0  1.018256   9.588348
 317.0  1.019997   9.549981
 318.0  1.025347   9.433069
 319.0  1.029590   9.341350
 320.0  1.032455   9.279937
 321.0  1.035353   9.218220
 322.0  1.040413   9.111449
 323.0  1.044406   9.028042
 324.0  1.046269   8.989412
 325.0  1.050466   8.902943
 326.0  1.053249   8.846073
 327.0  1.053180   8.847493
 328.0  1.054835   8.813843
 329.0  1.048333   8.946779
 330.0  1.049357   8.925714
 331.0  1.050923   8.893591
 332.0  1.053213   8.846826
 333.0  1.053041   8.850316
 334.0  1.049389   8.925055
 335.0  1.042497   9.067831
 336.0  1.028870   9.356854
 337.0  1.006783   9.845039
 338.0  0.963024  10.888696
 339.0  0.888833  12.917157
 340.0  1.084861   8.225053
 341.0  1.085539   8.212237
 342.0  1.085584   8.211376
 343.0  1.089604   8.135729
 344.0  1.089089   8.145382
 345.0  1.091216   8.105575
 346.0  1.092613   8.079543
 347.0  1.091512   8.100057
 348.0  1.096377   8.009833
 349.0  1.094097   8.051983
 350.0  1.099571   7.951124
 351.0  1.098761   7.965981
 352.0  1.101286   7.919791
 353.0  1.105258   7.847695
 354.0  1.102461   7.898394
 355.0  1.105419   7.844790
 356.0  1.106393   7.827213
 357.0  1.104796   7.856045
 358.0  1.108914   7.781908
 359.0  1.108484   7.789619
 360.0  1.112089   7.725220
 361.0  1.113956   7.692076
 362.0  1.113366   7.702536
 363.0  1.118039   7.620108
 364.0  1.117419   7.630992
 365.0  1.119171   7.600276
 366.0  1.124326   7.510595
 367.0  1.124009   7.516065
 368.0  1.127236   7.460434
 369.0  1.132214   7.375412
 370.0  1.132284   7.374212
 371.0  1.132495   7.370638
 372.0  1.133763   7.349153
 373.0  1.130146   7.410608
 374.0  1.128197   7.443945
 375.0  1.128667   7.435895
 376.0  1.122299   7.545722
 377.0  1.117207   7.634711
 378.0  1.129590   7.420104
 379.0  1.131721   7.383784
 380.0  1.132296   7.374019
 381.0  1.134162   7.342404
 382.0  1.134157   7.342487
 383.0  1.135332   7.322648
 384.0  1.134210   7.341584
 385.0  1.135461   7.320477
 386.0  1.133752   7.349332
 387.0  1.135392   7.321639
 388.0  1.134329   7.339581
 389.0  1.131952   7.379859
 390.0  1.131934   7.380171
 391.0  1.129867   7.415368
 392.0  1.127396   7.457676
 393.0  1.125852   7.484250
 394.0  1.122454   7.543026
 395.0  1.120073   7.584499
 396.0  1.116119   7.653862
 397.0  1.113449   7.701076
 398.0  1.110047   7.761636
 399.0  1.106211   7.830483
 400.0  1.105851   7.836982
 401.0  1.081367   8.291489
 402.0  1.076006   8.394485
 403.0  1.071075   8.490330
 404.0  1.063351   8.642697
 405.0  1.057520   8.759508
 406.0  1.050152   8.909394
 407.0  1.042946   9.058453
 408.0  1.035552   9.213992
 409.0  1.026593   9.406045
 410.0  1.018075   9.592342
 411.0  1.008627   9.803317
 412.0  0.999116  10.020385
 413.0  0.989219  10.251347
 414.0  0.978615  10.504725
 415.0  0.967330  10.781266
 416.0  0.955721  11.073361
 417.0  0.942230  11.422723
 418.0  0.929379  11.765800
 419.0  0.915079  12.159645
 420.0  0.901056  12.558693
 421.0  0.885564  13.014760
 422.0  0.869226  13.513692
 423.0  0.852875  14.032167
 424.0  0.834932  14.624066
 425.0  0.817457  15.224496
 426.0  0.799092  15.882110
 427.0  0.780136  16.590664
 428.0  0.760567  17.355337
 429.0  0.741196  18.146954
 430.0  0.721888  18.971933
 431.0  0.702961  19.817030
 432.0  0.684086  20.697306
 433.0  0.665261  21.614191
 434.0  0.646662  22.559950
 435.0  0.628865  23.503639
 436.0  0.612439  24.409611
 437.0  0.597257  25.278044
 438.0  0.583422  26.096268
 439.0  0.572889  26.736891
 440.0  0.565667  27.185205
 441.0  0.528601  29.607334
 442.0  0.514291  30.599155
 443.0  0.500933  31.554918
 444.0  0.488656  32.459633
 445.0  0.476938  33.347427
 446.0  0.466127  34.187969
 447.0  0.456239  34.975304
 448.0  0.448214  35.627529
 449.0  0.442498  36.099571
 450.0  0.440281  36.284340
 451.0  0.405958  39.268253
 452.0  0.397462  40.044006
 453.0  0.389564  40.778919
 454.0  0.381638  41.530025
