 WL        Abs       T%
 200.0  0.793080  16.103481
 201.0  0.794479  16.051712
 202.0  0.802457  15.759513
 203.0  0.813182  15.375114
 204.0  0.821999  15.066115
 205.0  0.828750  14.833713
 206.0  0.836886  14.558422
 207.0  0.845610  14.268890
 208.0  0.854421  13.982307
 209.0  0.864477  13.662281
 210.0  0.879765  13.189698
 211.0  0.894134  12.760463
 212.0  0.915411  12.150346
 213.0  0.942938  11.404133
 214.0  0.984069  10.373628
 215.0  0.920152  12.018429
 216.0  0.925165  11.880519
 217.0  0.927497  11.816877
 218.0  0.932903  11.670708
 219.0  0.939545  11.493574
 220.0  0.943794  11.381667
 221.0  0.950216  11.214604
 222.0  0.955854  11.069963
 223.0  0.962505  10.901731
 224.0  0.968972  10.740587
 225.0  0.976107  10.565566
 226.0  0.981948  10.424414
 227.0  0.986793  10.308778
 228.0  1.020599   9.536760
 229.0  1.026036   9.418119
 230.0  1.031454   9.301349
 231.0  1.040925   9.100714
 232.0  1.047318   8.967714
 233.0  1.052823   8.854770
 234.0  1.057853   8.752795
 235.0  1.064993   8.610083
 236.0  1.071143   8.489011
 237.0  1.073770   8.437807
 238.0  1.078993   8.336945
 239.0  1.083857   8.244097
 240.0  1.087442   8.176331
 241.0  1.089929   8.129628
 242.0  1.092650   8.078866
 243.0  1.096344   8.010425
 244.0  1.099034   7.960967
 245.0  1.098820   7.964888
 246.0  1.101499   7.915907
 247.0  1.105019   7.852015
 248.0  1.104017   7.870154
 249.0  1.104060   7.869363
 250.0  1.105276   7.847374
 251.0  1.104982   7.852688
 252.0  1.106755   7.820688
 253.0  1.106463   7.825952
 254.0  1.104158   7.867601
 255.0  1.103247   7.884124
 256.0  1.104187   7.867061
 257.0  1.104161   7.867549
 258.0  1.102396   7.899589
 259.0  1.099433   7.953665
 260.0  1.099911   7.944911
 261.0  1.100184   7.939919
 262.0  1.095688   8.022549
 263.0  1.094413   8.046128
 264.0  1.093620   8.060833
 265.0  1.092385   8.083791
 266.0  1.090900   8.111475
 267.0  1.089144   8.144342
 268.0  1.088654   8.153543
 269.0  1.087898   8.167739
 270.0  1.085803   8.207232
 271.0  1.087755   8.170428
 272.0  1.086097   8.201693
 273.0  1.084878   8.224730
 274.0  1.086676   8.190747
 275.0  1.088710   8.152484
 276.0  1.088521   8.156035
 277.0  1.087449   8.176191
 278.0  1.088417   8.157990
 279.0  1.092276   8.085828
 280.0  1.091257   8.104805
 281.0  1.092138   8.088386
 282.0  1.095734   8.021701
 283.0  1.097787   7.983868
 284.0  1.097174   7.995138
 285.0  1.100151   7.940516
 286.0  1.102101   7.904948
 287.0  1.101517   7.915586
 288.0  1.103064   7.887440
 289.0  1.108264   7.793559
 290.0  1.106786   7.820128
 291.0  1.107253   7.811722
 292.0  1.109572   7.770128
 293.0  1.112617   7.715832
 294.0  1.110068   7.761254
 295.0  1.110218   7.758571
 296.0  1.112076   7.725451
 297.0  1.115160   7.670789
 298.0  1.113124   7.706827
 299.0  1.112009   7.726651
 300.0  1.112314   7.721230
 301.0  1.113124   7.706834
 302.0  1.115956   7.656736
 303.0  1.115828   7.659002
 304.0  1.113850   7.693970
 305.0  1.114017   7.690995
 306.0  1.116742   7.642899
 307.0  1.117465   7.630184
 308.0  1.116852   7.640965
 309.0  1.119089   7.601698
 310.0  1.120641   7.574584
 311.0  1.119819   7.588939
 312.0  1.121390   7.561536
 313.0  1.124766   7.502986
 314.0  1.127226   7.460602
 315.0  1.127665   7.453066
 316.0  1.130580   7.403214
 317.0  1.135086   7.326787
 318.0  1.136244   7.307285
 319.0  1.141131   7.225523
 320.0  1.143759   7.181923
 321.0  1.145865   7.147182
 322.0  1.150592   7.069817
 323.0  1.154707   7.003136
 324.0  1.156047   6.981576
 325.0  1.159085   6.932897
 326.0  1.161673   6.891713
 327.0  1.160909   6.903845
 328.0  1.163901   6.856445
 329.0  1.148156   7.109578
 330.0  1.149511   7.087432
 331.0  1.151963   7.047523
 332.0  1.152548   7.038045
 333.0  1.150370   7.073431
 334.0  1.144596   7.168105
 335.0  1.135592   7.318259
 336.0  1.117821   7.623940
 337.0  1.089865   8.130835
 338.0  1.039732   9.125744
 339.0  0.955997  11.066318
 340.0  1.184125   6.544475
 341.0  1.184931   6.532350
 342.0  1.188577   6.477739
 343.0  1.188152   6.484079
 344.0  1.190408   6.450483
 345.0  1.191032   6.441223
 346.0  1.192988   6.412278
 347.0  1.193305   6.407590
 348.0  1.191500   6.434274
 349.0  1.195382   6.377028
 350.0  1.192473   6.419882
 351.0  1.196938   6.354218
 352.0  1.197600   6.344534
 353.0  1.195720   6.372057
 354.0  1.203108   6.264578
 355.0  1.199588   6.315561
 356.0  1.203029   6.265727
 357.0  1.205184   6.234712
 358.0  1.204245   6.248203
 359.0  1.208229   6.191139
 360.0  1.206301   6.218688
 361.0  1.211220   6.148648
 362.0  1.212434   6.131489
 363.0  1.211822   6.140136
 364.0  1.218005   6.053337
 365.0  1.218333   6.048764
 366.0  1.222017   5.997680
