 WL        Abs       T%
 200.0  0.714335  19.304789
 201.0  0.730932  18.580938
 202.0  0.734142  18.444130
 203.0  0.741704  18.125731
 204.0  0.751461  17.723066
 205.0  0.759725  17.389008
 206.0  0.768159  17.054564
 207.0  0.779948  16.597837
 208.0  0.790506  16.199224
 209.0  0.800970  15.813570
 210.0  0.814119  15.341966
 211.0  0.828219  14.851863
 212.0  0.845797  14.262735
 213.0  0.872341  13.417117
 214.0  0.902900  12.505460
 215.0  0.859707  13.813148
 216.0  0.864081  13.674729
 217.0  0.871265  13.450389
 218.0  0.877366  13.262775
 219.0  0.883560  13.074958
 220.0  0.890541  12.866463
 221.0  0.896530  12.690258
 222.0  0.903461  12.489333
 223.0  0.911811  12.251506
 224.0  0.919035  12.049383
 225.0  0.924470  11.899527
 226.0  0.931278  11.714446
 227.0  0.935415  11.603386
 228.0  0.969701  10.722569
 229.0  0.977106  10.541293
 230.0  0.983013  10.398901
 231.0  0.990248  10.227083
 232.0  1.000337   9.992246
 233.0  1.006292   9.856161
 234.0  1.011113   9.747370
 235.0  1.018146   9.590773
 236.0  1.025721   9.424942
 237.0  1.029999   9.332554
 238.0  1.033607   9.255363
 239.0  1.038310   9.155668
 240.0  1.042408   9.069674
 241.0  1.046329   8.988161
 242.0  1.049533   8.922089
 243.0  1.051016   8.891677
 244.0  1.054309   8.824511
 245.0  1.056093   8.788346
 246.0  1.056743   8.775194
 247.0  1.059248   8.724738
 248.0  1.059366   8.722363
 249.0  1.061316   8.683274
 250.0  1.061920   8.671222
 251.0  1.060987   8.689874
 252.0  1.061563   8.678347
 253.0  1.061450   8.680600
 254.0  1.059926   8.711126
 255.0  1.059880   8.712048
 256.0  1.060056   8.708518
 257.0  1.056493   8.780247
 258.0  1.054786   8.814827
 259.0  1.053913   8.832568
 260.0  1.052482   8.861710
 261.0  1.050783   8.896447
 262.0  1.049415   8.924525
 263.0  1.046859   8.977211
 264.0  1.044164   9.033089
 265.0  1.042025   9.077686
 266.0  1.041361   9.091565
 267.0  1.039899   9.122232
 268.0  1.036628   9.191205
 269.0  1.036534   9.193193
 270.0  1.036408   9.195848
 271.0  1.033527   9.257066
 272.0  1.033003   9.268232
 273.0  1.032085   9.287837
 274.0  1.034079   9.245301
 275.0  1.035009   9.225525
 276.0  1.035249   9.220431
 277.0  1.034721   9.231638
 278.0  1.035785   9.209057
 279.0  1.038959   9.141994
 280.0  1.040768   9.103996
 281.0  1.040637   9.106749
 282.0  1.042138   9.075327
 283.0  1.046687   8.980761
 284.0  1.047919   8.955322
 285.0  1.048162   8.950309
 286.0  1.050684   8.898486
 287.0  1.054283   8.825048
 288.0  1.053919   8.832442
 289.0  1.056368   8.782778
 290.0  1.060458   8.700452
 291.0  1.061642   8.676760
 292.0  1.060908   8.691446
 293.0  1.061948   8.670655
 294.0  1.064866   8.612597
 295.0  1.066364   8.582931
 296.0  1.065304   8.603909
 297.0  1.066145   8.587259
 298.0  1.068265   8.545443
 299.0  1.070548   8.500655
 300.0  1.070155   8.508336
 301.0  1.069588   8.519464
 302.0  1.069549   8.520222
 303.0  1.072923   8.454286
 304.0  1.072776   8.457148
 305.0  1.072433   8.463822
 306.0  1.076056   8.393519
 307.0  1.076301   8.388789
 308.0  1.075894   8.396642
 309.0  1.077338   8.368787
 310.0  1.080474   8.308558
 311.0  1.082702   8.266051
 312.0  1.082555   8.268856
 313.0  1.085072   8.221063
 314.0  1.089680   8.134289
 315.0  1.091293   8.104144
 316.0  1.093099   8.070519
 317.0  1.098099   7.978119
 318.0  1.102638   7.895177
 319.0  1.103129   7.886264
 320.0  1.110265   7.757740
 321.0  1.110419   7.754985
 322.0  1.114359   7.684951
 323.0  1.119691   7.591168
 324.0  1.120269   7.581082
 325.0  1.123290   7.528526
 326.0  1.128241   7.443183
 327.0  1.126186   7.478493
 328.0  1.128247   7.443093
 329.0  1.119061   7.602191
 330.0  1.119719   7.590693
 331.0  1.121897   7.552707
 332.0  1.124290   7.511204
 333.0  1.122720   7.538423
 334.0  1.118883   7.605318
 335.0  1.110775   7.748623
 336.0  1.096824   8.001590
 337.0  1.071063   8.490570
 338.0  1.025416   9.431562
 339.0  0.948888  11.248958
 340.0  1.135285   7.323442
 341.0  1.138678   7.266442
 342.0  1.136813   7.297718
 343.0  1.141389   7.221221
 344.0  1.139603   7.250980
 345.0  1.145519   7.152884
 346.0  1.144788   7.164934
 347.0  1.149041   7.095105
 348.0  1.150573   7.070123
 349.0  1.149441   7.088584
 350.0  1.155662   6.987755
 351.0  1.154606   7.004768
 352.0  1.159256   6.930170
 353.0  1.157551   6.957426
 354.0  1.160763   6.906164
 355.0  1.166414   6.816885
 356.0  1.162285   6.882006
 357.0  1.163148   6.868339
 358.0  1.167480   6.800176
 359.0  1.166170   6.820709
 360.0  1.170167   6.758236
 361.0  1.172261   6.725727
 362.0  1.170768   6.748880
 363.0  1.175483   6.676018
 364.0  1.174364   6.693236
 365.0  1.178200   6.634375
 366.0  1.181401   6.585649
 367.0  1.180853   6.593965
 368.0  1.183141   6.559319
 369.0  1.187517   6.493567
 370.0  1.190111   6.454897
 371.0  1.194999   6.382655
 372.0  1.194535   6.389477
 373.0  1.192101   6.425375
 374.0  1.188785   6.474633
 375.0  1.187066   6.500313
 376.0  1.181242   6.588062
 377.0  1.173738   6.702888
 378.0  1.187125   6.499424
 379.0  1.186046   6.515601
 380.0  1.188398   6.480406
 381.0  1.187589   6.492483
 382.0  1.188746   6.475218
 383.0  1.188843   6.473764
 384.0  1.187484   6.494050
 385.0  1.186925   6.502419
 386.0  1.184723   6.535467
 387.0  1.185249   6.527557
 388.0  1.182331   6.571565
 389.0  1.181853   6.578807
 390.0  1.179098   6.620667
 391.0  1.175416   6.677033
 392.0  1.174672   6.688485
 393.0  1.169526   6.768209
 394.0  1.167178   6.804904
 395.0  1.162878   6.872616
 396.0  1.159376   6.928257
 397.0  1.155989   6.982508
 398.0  1.150950   7.063992
 399.0  1.148543   7.103246
 400.0  1.145837   7.147652
 401.0  1.121499   7.559633
 402.0  1.115796   7.659564
 403.0  1.108149   7.795631
 404.0  1.104047   7.869601
 405.0  1.096310   8.011068
 406.0  1.090000   8.128306
 407.0  1.083002   8.260333
 408.0  1.075605   8.402240
 409.0  1.068651   8.537860
 410.0  1.060091   8.707801
 411.0  1.053314   8.844754
 412.0  1.044149   9.033386
 413.0  1.036813   9.187273
 414.0  1.028836   9.357597
 415.0  1.018671   9.579194
 416.0  1.009925   9.774055
 417.0  1.000055   9.998737
 418.0  0.990343  10.224860
 419.0  0.980403  10.461572
 420.0  0.969958  10.716222
 421.0  0.959293  10.982635
 422.0  0.948006  11.271824
 423.0  0.937432  11.549626
 424.0  0.926029  11.856884
 425.0  0.914905  12.164515
 426.0  0.903806  12.479399
 427.0  0.892115  12.819897
 428.0  0.881776  13.128758
 429.0  0.869907  13.492521
 430.0  0.859016  13.835141
 431.0  0.848525  14.173445
 432.0  0.837900  14.524459
 433.0  0.828355  14.847208
 434.0  0.818433  15.190325
 435.0  0.809074  15.521224
 436.0  0.800071  15.846336
 437.0  0.792446  16.127007
 438.0  0.784915  16.409124
 439.0  0.779585  16.611727
 440.0  0.775957  16.751106
 441.0  0.757010  17.498055
 442.0  0.748909  17.827543
 443.0  0.741731  18.124632
 444.0  0.734417  18.432465
 445.0  0.727148  18.743549
 446.0  0.721058  19.008244
 447.0  0.714591  19.293430
 448.0  0.709532  19.519478
 449.0  0.705927  19.682159
 450.0  0.703799  19.778843
 451.0  0.675295  21.120533
 452.0  0.668540  21.451603
 453.0  0.661912  21.781494
 454.0  0.655511  22.104933
 455.0  0.649561  22.409857
 456.0  0.643939  22.701841
 457.0  0.637596  23.035830
 458.0  0.631721  23.349588
 459.0  0.625575  23.682384
 460.0  0.620024  23.986986
 461.0  0.614328  24.303656
 462.0  0.608408  24.637253
 463.0  0.602811  24.956821
 464.0  0.597415  25.268797
 465.0  0.592128  25.578297
 466.0  0.586950  25.885134
 467.0  0.581918  26.186768
 468.0  0.576598  26.509510
 469.0  0.571749  26.807159
 470.0  0.567100  27.095659
 471.0  0.562324  27.395315
 472.0  0.557727  27.686825
 473.0  0.552968  27.991882
 474.0  0.548410  28.287214
 475.0  0.543947  28.579386
 476.0  0.539726  28.858540
 477.0  0.535435  29.145090
 478.0  0.531279  29.425308
 479.0  0.527119  29.708500
 480.0  0.522942  29.995634
 481.0  0.518766  30.285461
 482.0  0.514537  30.581806
 483.0  0.510752  30.849510
 484.0  0.506393  31.160681
 485.0  0.502453  31.444677
 486.0  0.498738  31.714825
 487.0  0.495250  31.970533
 488.0  0.491412  32.254341
 489.0  0.487414  32.552624
 490.0  0.483516  32.846127
 491.0  0.479995  33.113491
 492.0  0.476301  33.396355
 493.0  0.472982  33.652576
 494.0  0.469527  33.921341
 495.0  0.466242  34.178925
 496.0  0.463120  34.425499
 497.0  0.460498  34.633949
 498.0  0.458483  34.794994
 499.0  0.457384  34.883148
 500.0  0.447576  35.679897
 501.0  0.444176  35.960320
 502.0  0.440551  36.261738
 503.0  0.436980  36.561161
 504.0  0.433374  36.866016
 505.0  0.430171  37.138885
 506.0  0.426526  37.451916
 507.0  0.423075  37.750725
 508.0  0.419865  38.030769
 509.0  0.416301  38.344139
 510.0  0.412713  38.662254
 511.0  0.409128  38.982700
 512.0  0.405958  39.268318
 513.0  0.402649  39.568657
 514.0  0.399171  39.886784
 515.0  0.395648  40.211617
 516.0  0.392330  40.520092
 517.0  0.388897  40.841595
 518.0  0.385752  41.138416
 519.0  0.382458  41.451637
 520.0  0.379256  41.758381
 521.0  0.375806  42.091454
 522.0  0.372376  42.425167
 523.0  0.369397  42.717251
 524.0  0.366214  43.031425
 525.0  0.363070  43.344074
 526.0  0.359777  43.674007
 527.0  0.356694  43.985130
 528.0  0.353495  44.310368
 529.0  0.349989  44.669533
 530.0  0.347029  44.974949
 531.0  0.343768  45.313908
 532.0  0.340607  45.644974
 533.0  0.337731  45.948227
 534.0  0.334407  46.301231
 535.0  0.331470  46.615410
 536.0  0.328352  46.951382
 537.0  0.325089  47.305447
 538.0  0.321907  47.653297
 539.0  0.318992  47.974201
 540.0  0.315882  48.318958
 541.0  0.312999  48.640804
 542.0  0.309678  49.014175
 543.0  0.306650  49.357098
 544.0  0.303386  49.729534
 545.0  0.300428  50.069378
 546.0  0.297542  50.403149
 547.0  0.294645  50.740536
 548.0  0.291759  51.078865
 549.0  0.288839  51.423470
 550.0  0.286025  51.757755
 551.0  0.283149  52.101608
 552.0  0.280610  52.407059
 553.0  0.278106  52.710110
 554.0  0.275503  53.027031
 555.0  0.272798  53.358311
 556.0  0.269978  53.705925
 557.0  0.267460  54.018127
 558.0  0.264902  54.337337
 559.0  0.262350  54.657566
 560.0  0.259621  55.002033
 561.0  0.257258  55.302109
 562.0  0.254894  55.603962
 563.0  0.252372  55.927814
 564.0  0.249802  56.259808
