 WL        Abs       T%
 412.0  1.165806   6.826431
 413.0  1.157823   6.953077
 414.0  1.152038   7.046319
 415.0  1.144110   7.176132
 416.0  1.137292   7.289676
 417.0  1.128785   7.433870
 418.0  1.121734   7.555548
 419.0  1.112609   7.715982
 420.0  1.104960   7.853076
 421.0  1.096135   8.014289
 422.0  1.087039   8.183907
 423.0  1.078408   8.348177
 424.0  1.068066   8.549370
 425.0  1.059673   8.716202
 426.0  1.049391   8.925011
 427.0  1.040455   9.110551
 428.0  1.030381   9.324355
 429.0  1.019953   9.550949
 430.0  1.010711   9.756388
 431.0  1.000754   9.982654
 432.0  0.990162  10.229124
 433.0  0.981559  10.433760
 434.0  0.971337  10.682252
 435.0  0.962836  10.893404
 436.0  0.953673  11.125700
 437.0  0.946114  11.321024
 438.0  0.938741  11.514857
 439.0  0.932345  11.685716
 440.0  0.928448  11.791035
 441.0  0.910959  12.275558
 442.0  0.901879  12.534891
 443.0  0.893255  12.786310
 444.0  0.885578  13.014341
 445.0  0.877815  13.249065
 446.0  0.870119  13.485937
 447.0  0.863531  13.692063
 448.0  0.857282  13.890495
 449.0  0.853259  14.019786
 450.0  0.851234  14.085310
 451.0  0.816202  15.268573
 452.0  0.808077  15.556886
 453.0  0.800434  15.833097
 454.0  0.792472  16.126036
 455.0  0.784638  16.419577
 456.0  0.777591  16.688187
 457.0  0.769784  16.990896
 458.0  0.762305  17.286034
 459.0  0.754939  17.581713
 460.0  0.747383  17.890265
 461.0  0.740542  18.174311
 462.0  0.732766  18.502642
 463.0  0.725844  18.799929
 464.0  0.718748  19.109634
 465.0  0.711576  19.427822
 466.0  0.705247  19.712994
 467.0  0.698527  20.020407
 468.0  0.691856  20.330303
 469.0  0.686050  20.603924
 470.0  0.679781  20.903502
 471.0  0.673204  21.222483
 472.0  0.666695  21.542917
 473.0  0.660861  21.834297
 474.0  0.654377  22.162712
 475.0  0.648308  22.474625
 476.0  0.642898  22.756321
 477.0  0.636941  23.070621
 478.0  0.631177  23.378851
 479.0  0.625369  23.693619
 480.0  0.619532  24.014187
 481.0  0.614294  24.305592
 482.0  0.608873  24.610899
 483.0  0.603432  24.921129
 484.0  0.598117  25.228018
 485.0  0.592506  25.556070
 486.0  0.587055  25.878839
 487.0  0.582191  26.170303
 488.0  0.577191  26.473328
 489.0  0.572469  26.762758
 490.0  0.567642  27.061899
 491.0  0.562716  27.370571
 492.0  0.558169  27.658667
 493.0  0.553721  27.943357
 494.0  0.549344  28.226444
 495.0  0.544873  28.518513
 496.0  0.541045  28.771030
 497.0  0.537495  29.007153
 498.0  0.534994  29.174681
 499.0  0.533522  29.273701
 500.0  0.520968  30.132250
 501.0  0.516313  30.456961
