"Au sample deposited by Zr for 20 min   "
TotalNumOfRegions=4
Region=1
"O 1s"
Npoints=241
     290.081      9538.000
     290.031      9453.330
     289.981      9560.000
     289.931      9510.670
     289.881      9386.000
     289.831      9404.670
     289.781      9262.000
     289.731      9404.000
     289.681      9452.670
     289.631      9610.670
     289.581      9490.000
     289.531      9646.670
     289.481      9438.000
     289.431      9640.000
     289.381      9346.000
     289.331      9633.330
     289.281      9563.330
     289.231      9372.670
     289.181      9414.670
     289.131      9367.330
     289.081      9582.000
     289.031      9586.000
     288.981      9572.670
     288.931      9314.000
     288.881      9595.330
     288.831      9472.670
     288.781      9576.670
     288.731      9457.330
     288.681      9598.000
     288.631      9354.670
     288.581      9394.670
     288.531      9507.330
     288.481      9494.670
     288.431      9544.000
     288.381      9453.330
     288.331      9621.330
     288.281      9514.670
     288.231      9459.330
     288.181      9436.670
     288.131      9554.000
     288.081      9528.670
     288.031      9466.000
     287.981      9499.330
     287.931      9516.000
     287.881      9428.000
     287.831      9550.670
     287.781      9476.670
     287.731      9515.330
     287.681      9630.000
     287.631      9600.000
     287.581      9394.670
     287.531      9466.000
     287.481      9676.670
     287.431      9602.000
     287.381      9334.000
     287.331      9379.330
     287.281      9700.000
     287.231      9638.000
     287.181      9504.670
     287.131      9429.330
     287.081      9520.000
     287.031      9555.330
     286.981      9641.330
     286.931      9618.000
     286.881      9718.670
     286.831      9615.330
     286.781      9640.000
     286.731      9622.670
     286.681      9578.000
     286.631      9553.330
     286.581      9836.000
     286.531      9672.000
     286.481      9617.330
     286.431      9787.330
     286.381      9714.000
     286.331      9524.000
     286.281      9756.670
     286.231      9705.330
     286.181      9772.670
     286.131      9820.670
     286.081      9824.670
     286.031      9802.670
     285.981      9956.670
     285.931      9878.670
     285.881      9917.330
     285.831     10010.700
     285.781     10001.300
     285.731     10029.300
     285.681      9964.000
     285.631     10094.000
     285.581     10044.700
     285.531     10006.700
     285.481     10086.000
     285.431     10212.000
     285.381     10112.000
     285.331     10282.000
     285.281     10126.000
     285.231     10324.000
     285.181     10370.700
     285.131     10456.000
     285.081     10183.300
     285.031     10403.300
     284.981     10332.700
     284.931     10390.000
     284.881     10394.000
     284.831     10432.700
     284.781     10348.000
     284.731     10560.700
     284.681     10384.700
     284.631     10284.700
     284.581     10512.000
     284.531     10415.300
     284.481     10198.700
     284.431     10459.300
     284.381     10354.700
     284.331     10401.300
     284.281     10280.000
     284.231     10182.700
     284.181     10161.300
     284.131     10182.000
     284.081     10133.300
     284.031     10282.000
     283.981     10230.700
     283.931     10099.300
     283.881     10237.300
     283.831     10114.700
     283.781     10181.300
     283.731      9936.670
     283.681      9927.330
     283.631     10133.300
     283.581     10118.000
     283.531     10100.000
     283.481     10034.700
     283.431      9872.000
     283.381     10000.700
     283.331      9994.000
     283.281      9936.670
     283.231     10015.300
     283.181     10174.000
     283.131     10015.300
     283.081     10002.000
     283.031     10049.300
     282.981      9910.670
     282.931     10176.700
     282.881      9988.670
     282.831     10122.700
     282.781     10039.300
     282.731      9934.000
     282.681     10114.000
     282.631     10229.300
     282.581     10062.000
     282.531     10104.700
     282.481     10162.000
     282.431     10042.000
     282.381     10168.700
     282.331     10064.000
     282.281     10098.000
     282.231     10132.000
     282.181     10120.000
     282.131     10040.000
     282.081      9988.000
     282.031     10025.300
     281.981      9968.670
     281.931      9948.670
     281.881      9830.670
     281.831      9794.000
     281.781      9739.330
     281.731      9578.670
     281.681      9585.330
     281.631      9584.670
     281.581      9507.330
     281.531      9414.000
     281.481      9387.330
     281.431      9284.000
     281.381      9322.670
     281.331      9302.000
     281.281      9444.000
     281.231      9272.670
     281.181      9325.330
     281.131      9324.670
     281.081      9282.000
     281.031      9387.330
     280.981      9316.000
     280.931      9425.330
     280.881      9140.000
     280.831      9261.330
     280.781      9253.330
     280.731      9314.000
     280.681      9356.670
     280.631      9247.330
     280.581      9268.670
     280.531      9142.000
     280.481      9373.330
     280.431      9186.670
     280.381      9144.670
     280.331      9132.670
     280.281      9197.330
     280.231      9174.670
     280.181      9146.670
     280.131      9189.330
     280.081      9326.670
     280.031      9398.000
     279.981      9204.000
     279.931      9181.330
     279.881      9334.000
     279.831      9210.670
     279.781      9186.670
     279.731      9313.330
     279.681      9306.000
     279.631      9286.670
     279.581      9254.000
     279.531      9162.670
     279.481      9277.330
     279.431      9149.330
     279.381      9284.000
     279.331      8973.330
     279.281      9248.670
     279.231      9164.000
     279.181      9178.000
     279.131      9050.670
     279.081      9219.330
     279.031      9189.330
     278.981      9080.000
     278.931      9252.670
     278.881      9256.670
     278.831      9076.000
     278.781      9147.330
     278.731      9103.330
     278.681      9208.000
     278.631      9224.670
     278.581      9198.670
     278.531      9077.330
     278.481      9134.670
     278.431      9212.670
     278.381      9256.670
     278.331      9204.000
     278.281      9112.000
     278.231      9208.670
     278.181      9200.670
     278.131      9079.330
     278.081      9092.670
     278.031      9298.670
     277.981      9153.330
     277.931      9269.330
     277.881      9207.330
     277.831      9168.000
     277.781      9214.670
     277.731      9222.670
     277.681      9331.330
     277.631      9276.000
     277.581      9203.330
     277.531      9227.330
     277.481      9334.000
     277.431      9159.330
     277.381      9227.330
     277.331      9170.000
     277.281      9255.330
     277.231      9338.670
     277.181      9354.000
     277.131      9212.670
     277.081      9056.000
     277.031      9361.330
     276.981      9197.330
     276.931      9199.330
     276.881      9209.330
     276.831      9214.000
     276.781      9375.330
     276.731      9234.000
     276.681      9279.330
     276.631      9266.000
     276.581      9190.000
     276.531      9183.330
     276.481      9084.000
     276.431      9114.000
     276.381      9082.000
     276.331      9332.670
     276.281      9339.330
     276.231      9382.670
     276.181      9286.670
     276.131      9344.670
     276.081      9153.330
     276.031      9195.330
     275.981      9234.000
     275.931      9383.330
     275.881      9288.000
     275.831      9235.330
     275.781      9288.000
     275.731      9330.670
     275.681      9124.670
     275.631      9322.000
     275.581      9290.670
     275.531      9206.670
     275.481      9282.670
     275.431      9166.670
     275.381      9202.670
     275.331      9136.670
     275.281      9158.670
     275.231      9162.670
     275.181      9177.330
     275.131      9188.670
     275.081      9286.000
     275.031      9241.330
     274.981      9264.670
     274.931      9416.670
     274.881      9163.330
     274.831      9142.000
     274.781      9343.330
     274.731      9247.330
     274.681      9066.000
     274.631      9222.670
Region=3
"Zr 3d"
Npoints=641
     191.691     10276.700
     191.666     10201.300
     191.641     10281.300
     191.616     10272.000
     191.591     10168.000
     191.566     10206.000
     191.541     10219.300
     191.516     10164.000
     191.491     10306.700
     191.466     10141.300
     191.441     10026.000
     191.416     10256.000
     191.391     10054.000
     191.366     10007.300
     191.341     10286.000
     191.316     10220.000
     191.291     10204.000
     191.266     10140.700
     191.241     10154.700
     191.216     10220.700
     191.191     10092.700
     191.166     10056.000
     191.141     10324.700
     191.116     10246.000
     191.091     10112.700
     191.066     10429.300
     191.041     10211.300
     191.016     10200.000
     190.991     10110.700
     190.966     10263.300
     190.941     10180.700
     190.916     10253.300
     190.891     10118.700
     190.866     10030.000
     190.841     10300.700
     190.816     10342.000
     190.791     10468.700
     190.766     10245.300
     190.741     10293.300
     190.716     10158.000
     190.691     10117.300
     190.666     10048.700
     190.641     10368.000
     190.616     10316.000
     190.591     10178.000
     190.566     10258.700
     190.541     10333.300
     190.516     10190.000
     190.491     10112.000
     190.466     10310.700
     190.441     10243.300
     190.416     10058.000
     190.391     10106.000
     190.366     10290.700
     190.341     10030.000
     190.316     10166.000
     190.291     10240.000
     190.266     10162.000
     190.241     10214.000
     190.216     10250.000
     190.191     10017.300
     190.166     10235.300
     190.141     10328.700
     190.116     10199.300
     190.091     10141.300
     190.066     10229.300
     190.041     10284.700
     190.016     10436.000
     189.991     10207.300
     189.966     10202.000
     189.941     10244.000
     189.916     10302.000
     189.891     10346.700
     189.866     10147.300
     189.841     10196.700
     189.816     10232.700
     189.791     10200.000
     189.766     10306.700
     189.741     10142.700
     189.716     10136.700
     189.691     10208.000
     189.666     10315.300
     189.641     10279.300
     189.616     10374.000
     189.591     10296.000
     189.566     10206.000
     189.541     10248.700
     189.516     10240.700
     189.491     10284.700
     189.466     10408.000
     189.441     10275.300
     189.416     10324.700
     189.391     10226.000
     189.366     10134.700
     189.341     10300.000
     189.316     10380.000
     189.291     10228.700
     189.266     10336.000
     189.241     10357.300
     189.216     10248.000
     189.191     10476.000
     189.166     10435.300
     189.141     10295.300
     189.116     10451.300
     189.091     10370.000
     189.066     10292.000
     189.041     10484.700
     189.016     10421.300
     188.991     10284.000
     188.966     10194.000
     188.941     10529.300
     188.916     10252.700
     188.891     10490.700
     188.866     10223.300
     188.841     10613.300
     188.816     10459.300
     188.791     10569.300
     188.766     10426.700
     188.741     10562.000
     188.716     10212.000
     188.691     10290.700
     188.666     10496.700
     188.641     10432.000
     188.616     10510.700
     188.591     10360.000
