B.E.(eV)           Raw Intensity       Peak Sum            Background          Peak 1              difference
 546.02             8435.31             8439.826            8435.31             8439.826           -4.516602 
 545.97             8324.3              8440.012            8435.463            8440.012           -115.7119 
 545.92             8584.05             8440.2              8435.617            8440.2              143.8496 
 545.87             8405.34             8440.387            8435.771            8440.387           -35.04688 
 545.82             8387.57             8440.575            8435.925            8440.575           -53.00488 
 545.77             8794.05             8440.764            8436.078            8440.764            353.2861 
 545.72             8456.15             8440.953            8436.232            8440.953            15.19727 
 545.67             8574.88             8441.142            8436.386            8441.142            133.7383 
 545.62             8387.21             8441.331            8436.539            8441.331           -54.12109 
 545.57             8278.41             8441.521            8436.693            8441.521           -163.1113 
 545.52             8352.77             8441.711            8436.847            8441.711           -88.94141 
 545.47             8365.37             8441.902            8437.001            8441.902           -76.53223 
 545.42             8411.63             8442.093            8437.154            8442.093           -30.46289 
 545.37             8281.8              8442.285            8437.309            8442.285           -160.4854 
 545.32             8415.08             8442.477            8437.462            8442.477           -27.39648 
 545.27             8685.96             8442.669            8437.615            8442.669            243.291 
 545.22             8732.83             8442.862            8437.77             8442.862            289.9678 
 545.17             8399.22             8443.056            8437.923            8443.056           -43.83594 
 545.12             8403.4              8443.25             8438.077            8443.25            -39.84961 
 545.07             8447.76             8443.443            8438.23             8443.443            4.316406 
 545.02             8461.66             8443.639            8438.385            8443.639            18.02148 
 544.97             8319.24             8443.834            8438.538            8443.834           -124.5938 
 544.92             8270.74             8444.029            8438.691            8444.029           -173.2891 
 544.87             8277.8              8444.226            8438.846            8444.226           -166.4258 
 544.82             8478.88             8444.423            8438.999            8444.423            34.45703 
 544.77             8652.2              8444.62             8439.153            8444.62             207.5801 
 544.72             8580.76             8444.817            8439.307            8444.817            135.9424 
 544.67             8226.7              8445.017            8439.461            8445.017           -218.3164 
 544.62             8461.12             8445.215            8439.614            8445.215            15.90527 
 544.57             8405.1              8445.414            8439.768            8445.414           -40.31445 
 544.52             8466.5              8445.614            8439.922            8445.614            20.88574 
 544.47             8323.25             8445.814            8440.075            8445.814           -122.5645 
 544.42             8468.16             8446.017            8440.229            8446.017            22.14355 
 544.37             8703.9              8446.218            8440.383            8446.218            257.6826 
 544.32             8436.57             8446.421            8440.537            8446.421           -9.850586 
 544.27             8229.55             8446.623            8440.69             8446.623           -217.0732 
 544.22             8334.76             8446.826            8440.844            8446.826           -112.0664 
 544.17             8368.29             8447.031            8440.998            8447.031           -78.74121 
 544.12             8534.75             8447.235            8441.151            8447.235            87.51465 
 544.07             8336.14             8447.441            8441.306            8447.441           -111.3018 
 544.02             8257.86             8447.647            8441.459            8447.647           -189.7871 
 543.97             8373.89             8447.855            8441.613            8447.855           -73.96582 
 543.92             8280.15             8448.063            8441.767            8448.063           -167.9121 
 543.87             8281.76             8448.271            8441.921            8448.271           -166.5107 
 543.82             8709.77             8448.479            8442.074            8448.479            261.29 
 543.77             8318.19             8448.688            8442.228            8448.688           -130.498 
 543.72             8110.79             8448.899            8442.382            8448.899           -338.1094 
 543.67             8497.44             8449.11             8442.535            8449.11             48.33008 
 543.62             8392.43             8449.322            8442.689            8449.322           -56.89258 
 543.57             8233.33             8449.535            8442.843            8449.535           -216.2051 
 543.52             8273.13             8449.749            8442.997            8449.749           -176.6191 
 543.47             8365.05             8449.963            8443.15             8449.963           -84.91309 
 543.42             8389.54             8450.178            8443.304            8450.178           -60.6377 
 543.37             8262.12             8450.394            8443.458            8450.394           -188.2734 
 543.32             8169.33             8450.61             8443.611            8450.61            -281.2803 
 543.27             8298.42             8450.828            8443.766            8450.828           -152.4082 
 543.22             8742.37             8451.046            8443.919            8451.046            291.3242 
 543.17             8571.83             8451.267            8444.073            8451.267            120.5635 
 543.12             8731.83             8451.486            8444.227            8451.486            280.3438 
 543.07             8542.52             8451.707            8444.38             8451.707            90.8125 
 543.02             8423.89             8451.93             8444.534            8451.93            -28.04004 
 542.97             8126.33             8452.152            8444.688            8452.152           -325.8223 
 542.92             8374.87             8452.377            8444.842            8452.377           -77.50684 
 542.87             8422.76             8452.602            8444.995            8452.602           -29.8418 
 542.82             8197.68             8452.828            8445.149            8452.828           -255.1484 
 542.77             8386.91             8453.055            8445.303            8453.055           -66.14453 
 542.72             8576.96             8453.282            8445.456            8453.282            123.6777 
 542.67             8264.54             8453.513            8445.61             8453.513           -188.9727 
 542.62             8371.09             8453.742            8445.764            8453.742           -82.65234 
 542.57             8491.23             8453.975            8445.918            8453.975            37.25586 
 542.52             8579.37             8454.206            8446.071            8454.206            125.1641 
 542.47             8550.83             8454.44             8446.226            8454.44             96.38965 
 542.42             8494.85             8454.675            8446.379            8454.675            40.1748 
 542.37             8478.22             8454.911            8446.532            8454.911            23.30859 
 542.32             8532.52             8455.148            8446.687            8455.148            77.37109 
 542.27             8492.56             8455.387            8446.84             8455.387            37.17285 
 542.22             8488.44             8455.627            8446.994            8455.627            32.81348 
 542.17             8333.76             8455.868            8447.147            8455.868           -122.1084 
 542.12             8293.93             8456.111            8447.302            8456.111           -162.1816 
 542.07             8371.72             8456.354            8447.455            8456.354           -84.63477 
 542.02             8186.61             8456.6              8447.608            8456.6             -269.9897 
 541.97             8281.45             8456.847            8447.763            8456.847           -175.3965 
 541.92             8418.82             8457.095            8447.916            8457.095           -38.27441 
 541.87             8433.49             8457.345            8448.07             8457.345           -23.85449 
 541.82             8347.47             8457.596            8448.224            8457.596           -110.126 
 541.77             8451.32             8457.849            8448.378            8457.849           -6.52832 
 541.72             8536.9              8458.103            8448.531            8458.103            78.79785 
 541.67             8148.71             8458.357            8448.685            8458.357           -309.6475 
 541.62             8431.2              8458.615            8448.839            8458.615           -27.41504 
 541.57             8303.02             8458.874            8448.992            8458.874           -155.8545 
 541.52             8406.91             8459.136            8449.146            8459.136           -52.22559 
 541.47             8488.16             8459.397            8449.3              8459.397            28.7627 
 541.42             8292.9              8459.663            8449.454            8459.663           -166.7627 
 541.37             8364.63             8459.929            8449.607            8459.929           -95.29883 
 541.32             8426.04             8460.196            8449.761            8460.196           -34.15625 
 541.27             8504.95             8460.466            8449.915            8460.466            44.48438 
 541.22             8279.67             8460.738            8450.068            8460.738           -181.0684 
 541.17             8664.27             8461.012            8450.223            8461.012            203.2578 
 541.12             8596.46             8461.287            8450.376            8461.287            135.1729 
 541.07             8463.52             8461.566            8450.53             8461.566            1.953125 
 541.02             8335.24             8461.846            8450.684            8461.846           -126.6055 
 540.97             8380.87             8462.128            8450.837            8462.128           -81.25781 
 540.92             8482.66             8462.412            8450.991            8462.412            20.24805 
 540.87             8323.62             8462.698            8451.145            8462.698           -139.0781 
 540.82             8769.13             8462.988            8451.299            8462.988            306.1416 
 540.77             8607.94             8463.279            8451.452            8463.279            144.6611 
 540.72             8419.84             8463.573            8451.606            8463.573           -43.7334 
 540.67             8525.67             8463.869            8451.76             8463.869            61.80078 
 540.62             8541.71             8464.168            8451.913            8464.168            77.54199 
 540.57             8402.22             8464.47             8452.067            8464.47            -62.25 
 540.52             8445.62             8464.773            8452.221            8464.773           -19.15332 
 540.47             8471.11             8465.081            8452.375            8465.081            6.029297 
 540.42             8586.73             8465.391            8452.528            8465.391            121.3398 
 540.37             8576.34             8465.704            8452.683            8465.704            110.6357 
 540.32             8388.64             8466.019            8452.836            8466.019           -77.37891 
 540.27             8541.15             8466.338            8452.99             8466.338            74.8125 
 540.22             8730.54             8466.659            8453.144            8466.659            263.8809 
 540.17             8461.69             8466.983            8453.297            8466.983           -5.292969 
 540.12             8539.81             8467.312            8453.451            8467.312            72.49805 
 540.07             8214.78             8467.643            8453.604            8467.643           -252.8623 
 540.02             8343.94             8467.979            8453.759            8467.979           -124.0381 
 539.97             8444.18             8468.316            8453.912            8468.316           -24.13672 
 539.92             8766.96             8468.658            8454.066            8468.658            298.3018 
 539.87             8607.47             8469.004            8454.22             8469.004            138.4658 
 539.82             8545.39             8469.353            8454.373            8469.353            76.03711 
 539.77             8646.03             8469.706            8454.527            8469.706            176.3242 
 539.72             8634.28             8470.063            8454.681            8470.063            164.2168 
 539.67             8360.38             8470.425            8454.835            8470.425           -110.0449 
 539.62             8238.32             8470.79             8454.988            8470.79            -232.4697 
 539.57             8417.93             8471.16             8455.143            8471.16            -53.23047 
 539.52             8322.22             8471.534            8455.296            8471.534           -149.3145 
 539.47             8516.02             8471.913            8455.449            8471.913            44.10645 
 539.42             8631.39             8472.297            8455.604            8472.297            159.0928 
 539.37             8814.43             8472.685            8455.757            8472.685            341.7451 
 539.32             8367.4              8473.078            8455.911            8473.078           -105.6777 
 539.27             8314.11             8473.476            8456.064            8473.476           -159.3652 
 539.22             8626.95             8473.88             8456.219            8473.88             153.0703 
 539.17             8382.31             8474.289            8456.372            8474.289           -91.97949 
 539.12             8583.8              8474.702            8456.525            8474.702            109.0977 
 539.07             8670.68             8475.123            8456.68             8475.123            195.5566 
 539.02             8555.62             8475.549            8456.833            8475.549            80.07129 
 538.97             8413.91             8475.981            8456.987            8475.981           -62.07129 
 538.92             8653.23             8476.419            8457.141            8476.419            176.8115 
 538.87             8546.87             8476.864            8457.295            8476.864            70.00586 
 538.82             8335.99             8477.314            8457.448            8477.314           -141.3242 
 538.77             8327.56             8477.771            8457.602            8477.771           -150.2119 
 538.72             8559.7              8478.237            8457.756            8478.237            81.46289 
 538.67             8276.15             8478.709            8457.909            8478.709           -202.5586 
 538.62             8671.18             8479.188            8458.063            8479.188            191.9912 
 538.57             8515.53             8479.676            8458.217            8479.676            35.85449 
 538.52             8119.65             8480.171            8458.371            8480.171           -360.521 
 538.47             8158.34             8480.674            8458.524            8480.674           -322.334 
 538.42             8129.74             8481.185            8458.678            8481.185           -351.4443 
 538.37             8642.13             8481.705            8458.832            8481.705            160.4248 
 538.32             8551.6              8482.233            8458.985            8482.233            69.36621 
 538.27             8393.03             8482.772            8459.14             8482.772           -89.74219 
 538.22             8404.39             8483.319            8459.293            8483.319           -78.92969 
 538.17             8166.48             8483.878            8459.447            8483.878           -317.3979 
 538.12             8368.47             8484.445            8459.601            8484.445           -115.9756 
 538.07             8367.93             8485.022            8459.754            8485.022           -117.0928 
 538.02             8390.63             8485.612            8459.908            8485.612           -94.98242 
 537.97             8597.87             8486.212            8460.062            8486.212            111.6582 
 537.92             8224.07             8486.824            8460.216            8486.824           -262.7539 
 537.87             8617.75             8487.447            8460.369            8487.447            130.3027 
 537.82             8690.9              8488.084            8460.523            8488.084            202.8164 
 537.77             8160.19             8488.732            8460.677            8488.732           -328.5425 
 537.72             8026.47             8489.395            8460.83             8489.395           -462.9243 
 537.67             8454.95             8490.071            8460.984            8490.071           -35.12109 
 537.62             8522.27             8490.762            8461.138            8490.762            31.50781 
 537.57             8342.67             8491.467            8461.292            8491.467           -148.7969 
 537.52             8449.38             8492.187            8461.445            8492.187           -42.80664 
 537.47             8711.74             8492.924            8461.6              8492.924            218.8164 
 537.42             8436.26             8493.677            8461.753            8493.677           -57.41699 
 537.37             8431.85             8494.446            8461.906            8494.446           -62.59668 
 537.32             8557.36             8495.234            8462.061            8495.234            62.12598 
 537.27             8349.58             8496.04             8462.214            8496.04            -146.46 
 537.22             8321.59             8496.866            8462.368            8496.866           -175.2764 
 537.17             8635.43             8497.712            8462.521            8497.712            137.7178 
 537.12             8337.16             8498.578            8462.676            8498.578           -161.418 
 537.07             8480.05             8499.466            8462.829            8499.466           -19.41602 
 537.02             8639.36             8500.375            8462.982            8500.375            138.9854 
 536.97             8374.51             8501.311            8463.137            8501.311           -126.8008 
 536.92             8472.26             8502.269            8463.29             8502.269           -30.00879 
 536.87             8644.76             8503.254            8463.444            8503.254            141.5059 
