B.E.(eV)           Raw Intensity       Peak Sum            Background          Peak 1              Peak 2              Peak 3              Peak 4              difference
 413.02             7258.27             7286.565            7258.27             7277.755            7264.183            7260.974            7258.464           -28.29541 
 412.97             6927.73             7286.773            7258.27             7277.892            7264.229            7260.996            7258.466           -359.043 
 412.92             7078.64             7287.701            7258.987            7278.748            7264.992            7261.737            7259.186           -209.0605 
 412.87             6943.2              7288.304            7259.378            7279.279            7265.429            7262.151            7259.58            -345.1035 
 412.82             7197.9              7289.205            7260.064            7280.107            7266.162            7262.861            7260.268           -91.30469 
 412.77             6867.53             7289.556            7260.199            7280.385            7266.344            7263.02             7260.405           -422.0264 
 412.72             6807.35             7290.627            7261.051            7281.381            7267.244            7263.896            7261.259           -483.2769 
 412.67             7323.55             7291.833            7262.035            7282.511            7268.276            7264.904            7262.246            31.71729 
 412.62             7417.4              7291.924            7261.902            7282.526            7268.192            7264.796            7262.115            125.4761 
 412.57             7331.22             7291.814            7261.564            7282.338            7267.905            7264.484            7261.781            39.40625 
 412.52             7085                7291.892            7261.413            7282.337            7267.804            7264.358            7261.632           -206.8916 
 412.47             7157.19             7292.506            7261.796            7282.873            7268.237            7264.767            7262.018           -135.3164 
 412.42             6950.96             7292.968            7262.023            7283.254            7268.516            7265.02             7262.248           -342.0083 
 412.37             7210.56             7293.881            7262.697            7284.084            7269.242            7265.721            7262.925           -83.3208 
 412.32             7101.65             7294.234            7262.811            7284.355            7269.408            7265.861            7263.041           -192.5845 
 412.27             7080.25             7294.827            7263.16             7284.864            7269.811            7266.238            7263.394           -214.5767 
 412.22             7187.25             7295.47             7263.557            7285.423            7270.262            7266.663            7263.793           -108.2202 
 412.17             7270.83             7295.883            7263.722            7285.75             7270.482            7266.856            7263.961           -25.05322 
 412.12             7153.38             7296.12             7263.707            7285.9              7270.522            7266.869            7263.95            -142.7402 
 412.07             7147.37             7296.614            7263.946            7286.307            7270.817            7267.137            7264.192           -149.2441 
 412.02             6969.11             7297.125            7264.199            7286.728            7271.127            7267.419            7264.448           -328.0151 
 411.97             6977.93             7298.026            7264.839            7287.539            7271.825            7268.089            7265.092           -320.0962 
 411.92             7080.88             7298.913            7265.462            7288.333            7272.505            7268.742            7265.718           -218.0332 
 411.87             7216.86             7299.581            7265.862            7288.909            7272.964            7269.173            7266.122           -82.7207 
 411.82             7155.74             7299.957            7265.969            7289.191            7273.13             7269.31             7266.231           -144.2168 
 411.77             7110.45             7300.471            7266.208            7289.609            7273.43             7269.581            7266.474           -190.0205 
 411.72             7136.43             7301.085            7266.546            7290.127            7273.829            7269.951            7266.816           -164.6553 
 411.67             7002.34             7301.649            7266.829            7290.593            7274.174            7270.266            7267.103           -299.3091 
 411.62             7000.17             7302.507            7267.402            7291.352            7274.811            7270.872            7267.68            -302.3374 
 411.57             6744.17             7303.374            7267.982            7292.118            7275.454            7271.484            7268.264           -559.2041 
 411.52             6921.9              7304.801            7269.118            7293.443            7276.654            7272.654            7269.404           -382.9009 
 411.47             7009.66             7305.849            7269.872            7294.388            7277.473            7273.442            7270.161           -296.189 
 411.42             7021.29             7306.712            7270.437            7295.146            7278.104            7274.042            7270.73            -285.4224 
 411.37             7004.4              7307.555            7270.977            7295.883            7278.71             7274.617            7271.275           -303.1553 
 411.32             6798.13             7308.44             7271.555            7296.66             7279.357            7275.231            7271.858           -510.3101 
 411.27             6614.12             7309.776            7272.582            7297.887            7280.452            7276.294            7272.889           -695.6563 
 411.22             6951.57             7311.519            7274.011            7299.519            7281.951            7277.759            7274.322           -359.9492 
 411.17             6845.45             7312.536            7274.71             7300.423            7282.72             7278.496            7275.026           -467.0854 
 411.12             6608.88             7313.79             7275.642            7301.563            7283.723            7279.465            7275.963           -704.9097 
 411.07             6666.62             7315.562            7277.088            7303.22             7285.242            7280.95             7277.414           -648.9419 
 411.02             6715.11             7317.217            7278.412            7304.757            7286.64             7282.313            7278.743           -602.1069 
 410.97             6947.97             7318.773            7279.634            7306.195            7287.936            7283.575            7279.97            -370.8032 
 410.92             6768.36             7319.832            7280.354            7307.133            7288.73             7284.334            7280.695           -551.4717 
 410.87             6970.43             7321.287            7281.464            7308.465            7289.918            7285.486            7281.811           -350.8564 
 410.82             6637.56             7322.309            7282.139            7309.363            7290.67             7286.202            7282.491           -684.749 
 410.77             6566.08             7324.06             7283.537            7310.988            7292.146            7287.642            7283.895           -757.98 
 410.72             6515.49             7325.974            7285.094            7312.774            7293.783            7289.241            7285.458           -810.4839 
 410.67             6572.74             7328.006            7286.763            7314.676            7295.533            7290.954            7287.133           -755.2656 
 410.62             6457.42             7329.922            7288.313            7316.46             7297.164            7292.547            7288.688           -872.5024 
 410.57             6532.56             7332.097            7290.115            7318.501            7299.049            7294.395            7290.497           -799.5371 
 410.52             6670.95             7334.118            7291.758            7320.386            7300.777            7296.083            7292.146           -663.1675 
 410.47             6328.72             7335.846            7293.105            7321.977            7302.209            7297.476            7293.5             -1007.126 
 410.42             6214.42             7338.327            7295.197            7324.316            7304.388            7299.616            7295.599           -1123.907 
 410.37             6451.19             7341.064            7297.542            7326.912            7306.82             7302.008            7297.95            -889.8745 
 410.32             6471.27             7343.299            7299.378            7329.002            7308.746            7303.892            7299.793           -872.0288 
 410.27             6550.31             7345.5              7301.174            7331.056            7310.632            7305.738            7301.597           -795.1895 
 410.22             6647.12             7347.538            7302.803            7332.945            7312.353            7307.417            7303.233           -700.418 
 410.17             6309.45             7349.376            7304.226            7334.631            7313.868            7308.89             7304.663           -1039.926 
 410.12             6673.12             7351.955            7306.383            7337.057            7316.12             7311.1              7306.829           -678.835 
 410.07             6659.11             7353.756            7307.757            7338.702            7317.59             7312.526            7308.21            -694.6465 
