B.E.(eV)           Raw Intensity       Peak Sum            Background          Peak 1              Peak 2              Peak 3              Peak 4              difference
 409.67             6158.47             6992.788            6957.866            6967.871            6970.792            6967.977            6959.747           -834.3174 
 409.62             5971.01             6994.84             6959.536            6969.634            6972.594            6969.765            6961.456           -1023.83 
 409.57             6308.19             6997.294            6961.601            6971.793            6974.792            6971.951            6963.56            -689.104 
 409.52             6437.3              6999.055            6962.965            6973.253            6976.293            6973.438            6964.966           -561.7549 
 409.47             6166.79             7000.555            6964.063            6974.449            6977.529            6974.662            6966.106           -833.7651 
 409.42             6088.36             7002.631            6965.729            6976.212            6979.335            6976.454            6967.815           -914.271 
 409.37             6295.46             7004.881            6967.561            6978.145            6981.31             6978.417            6969.692           -709.4209 
 409.32             6222.51             7006.71             6968.965            6979.65             6982.859            6979.953            6971.143           -784.2007 
 409.27             6067.28             7008.702            6970.524            6981.313            6984.565            6981.646            6972.75            -941.4219 
 409.22             6113.01             7011.029            6972.41             6983.303            6986.601            6983.669            6974.686           -898.019 
 409.17             6242.51             7013.273            6974.205            6985.204            6988.547            6985.604            6976.533           -770.7632 
 409.12             6167.38             7015.259            6975.734            6986.84             6990.23             6987.275            6978.115           -847.8789 
 409.07             6192.2              7017.413            6977.422            6988.638            6992.075            6989.108            6979.858           -825.2129 
 409.02             6210.73             7019.528            6979.062            6990.389            6993.875            6990.896            6981.555           -808.7979 
 408.97             6211.98             7021.616            6980.667            6992.106            6995.642            6992.651            6983.219           -809.6362 
 408.92             6127.17             7023.715            6982.272            6993.825            6997.412            6994.41             6984.885           -896.5449 
 408.87             6281                7026.003            6984.058            6995.727            6999.365            6996.352            6986.734           -745.0034 
 408.82             6182.22             7027.984            6985.526            6997.313            7001.003            6997.979            6988.268           -845.7637 
 408.77             6270.41             7030.185            6987.204            6999.11             7002.854            6999.819            6990.014           -759.7749 
 408.72             5963.97             7032.215            6988.701            7000.728            7004.527            7001.482            6991.582           -1068.245 
 408.67             6160.74             7034.899            6990.842            7002.991            7006.847            7003.791            6993.795           -874.1587 
 408.62             6192.08             7037.188            6992.576            7004.85             7008.762            7005.697            6995.605           -845.1079 
 408.57             6231.46             7039.427            6994.248            7006.649            7010.619            7007.545            6997.356           -807.9668 
 408.52             6210.08             7041.599            6995.841            7008.371            7012.401            7009.317            6999.032           -831.519 
 408.47             6469                7043.831            6997.482            7010.143            7014.234            7011.142            7000.759           -574.8306 
 408.42             6313.1              7045.537            6998.586            7011.379            7015.532            7012.432            7001.952           -732.437 
 408.37             6352.76             7047.585            7000.018            7012.946            7017.162            7014.054            7003.476           -694.8257 
 408.32             6488.16             7049.566            7001.369            7014.435            7018.715            7015.6              7004.924           -561.4063 
 408.27             6318.41             7051.283            7002.441            7015.646            7019.993            7016.871            7006.097           -732.8726 
 408.22             6169.34             7053.37             7003.87             7017.217            7021.631            7018.502            7007.63            -884.0298 
 408.17             6490.93             7055.785            7005.613            7019.104            7023.586            7020.452            7009.483           -564.8545 
 408.12             6454.75             7057.548            7006.688            7020.325            7024.878            7021.738            7010.672           -602.7983 
 408.07             6797.99             7059.405            7007.841            7021.626            7026.251            7023.107            7011.944           -261.415 
 408.02             6997.27             7060.564            7008.28             7022.216            7026.915            7023.766            7012.508           -63.29443 
 407.97             6552.06             7061.325            7008.303            7022.392            7027.166            7024.014            7012.661           -509.2646 
 407.92             6396.17             7063.033            7009.255            7023.5              7028.352            7025.197            7013.75            -666.8628 
 407.87             6355.89             7065.088            7010.536            7024.94             7029.87             7026.713            7015.174           -709.1978 
 407.82             6691.91             7067.248            7011.903            7026.468            7031.479            7028.32             7016.691           -375.3379 
 407.77             6683.24             7068.73             7012.572            7027.301            7032.393            7029.235            7017.517           -385.4897 
 407.72             6627.17             7070.251            7013.26             7028.156            7033.332            7030.174            7018.37            -443.0815 
 407.67             6974.92             7071.914            7014.066            7029.131            7034.394            7031.237            7019.349           -96.99365 
 407.62             6775.11             7072.873            7014.147            7029.385            7034.735            7031.582            7019.613           -297.7632 
 407.57             6608.22             7074.273            7014.646            7030.06             7035.5              7032.35             7020.303           -466.0532 
 407.52             6633.99             7076.049            7015.495            7031.087            7036.62             7033.474            7021.354           -442.0591 
 407.47             6785.58             7077.798            7016.292            7032.065            7037.692            7034.553            7022.363           -292.2178 
 407.42             6871.01             7079.258            7016.774            7032.732            7038.456            7035.323            7023.07            -208.2485 
 407.37             6851.22             7080.571            7017.079            7033.225            7039.047            7035.923            7023.611           -229.3506 
 407.32             6751.93             7081.954            7017.425            7033.763            7039.686            7036.571            7024.208           -330.0234 
 407.27             6700.3              7083.577            7017.979            7034.512            7040.54             7037.436            7025.028           -383.2773 
 407.22             6924.13             7085.34             7018.643            7035.374            7041.507            7038.417            7025.972           -161.2104 
 407.17             6914.23             7086.673            7018.841            7035.773            7042.016            7038.939            7026.467           -172.4429 
 407.12             6838.92             7088.063            7019.059            7036.197            7042.551            7039.491            7027.001           -249.1431 
 407.07             6603.48             7089.649            7019.436            7036.783            7043.251            7040.208            7027.713           -486.1694 
 407.02             6891.93             7091.769            7020.304            7037.865            7044.451            7041.427            7028.938           -199.8389 
 406.97             6928.3              7093.33             7020.572            7038.35             7045.056            7042.054            7029.586           -165.0298 
 406.92             6811.26             7094.86             7020.765            7038.764            7045.592            7042.614            7030.184           -283.6006 
 406.87             6957.67             7096.687            7021.202            7039.427            7046.382            7043.43             7031.055           -139.0166 
 406.82             6979.33             7098.259            7021.335            7039.79             7046.874            7043.95             7031.651           -118.9287 
 406.77             6844.36             7099.842            7021.423            7040.111            7047.329            7044.435            7032.236           -255.4819 
 406.72             7079.04             7101.766            7021.793            7040.719            7048.073            7045.213            7033.139           -22.72559 
 406.67             6754.26             7103.266            7021.673            7040.843            7048.337            7045.512            7033.594           -349.0063 
 406.62             6554.2              7105.516            7022.232            7041.649            7049.287            7046.501            7034.774           -551.3159 
 406.57             6930.28             7108.261            7023.209            7042.879            7050.665            7047.92             7036.426           -177.9814 
 406.52             7177.93             7110.313            7023.404            7043.331            7051.268            7048.569            7037.356            67.61768 
 406.47             7057.95             7111.946            7023.081            7043.271            7051.363            7048.713            7037.843           -53.99609 
 406.42             6930.84             7113.946            7023.008            7043.465            7051.718            7049.12             7038.668           -183.106 
 406.37             7016.45             7116.352            7023.201            7043.931            7052.348            7049.805            7039.87            -99.90137 
 406.32             6959.23             7118.749            7023.215            7044.224            7052.809            7050.327            7041.034           -159.519 
 406.27             7134.03             7121.481            7023.349            7044.642            7053.401            7050.982            7042.502            12.54883 
 406.22             6825.55             7124.121            7023.117            7044.7              7053.638            7051.288            7043.847           -298.5708 
 406.17             7119.29             7127.759            7023.53             7045.409            7054.529            7052.252            7046.158           -8.46875 
 406.12             7105.16             7131.253            7023.33             7045.511            7054.82             7052.621            7048.291           -26.09326 
 406.07             7171.16             7135.391            7023.159            7045.648            7055.151            7053.036            7051.032            35.76904 
 406.02             7107.24             7140.203            7022.85             7045.654            7055.357            7053.331            7054.411           -32.96289 
 405.97             7092.19             7146.205            7022.673            7045.799            7055.708            7053.776            7058.943           -54.01514 
 405.92             7244.79             7153.614            7022.528            7045.981            7056.102            7054.271            7064.843            91.17578 
 405.87             7093.82             7162.474            7022.064            7045.853            7056.191            7054.468            7072.154           -68.6543 
 405.82             7250.77             7173.873            7021.914            7046.045            7056.607            7055                7081.962            76.89746 
 405.77             7231.48             7187.722            7021.436            7045.917            7056.71             7055.225            7094.177            43.7583 
 405.72             7171.13             7204.981            7020.998            7045.836            7056.868            7055.512            7109.757           -33.85107 
 405.67             7217.08             7226.401            7020.684            7045.888            7057.164            7055.947            7129.453           -9.321289 
