B.E.(eV)           Raw Intensity       Peak Sum            Background          Peak 1              Peak 2              Peak 3              difference
 317.22             3191.14             3094.855            3090.35             3090.897            3093.954            3090.704            96.28491 
 317.17             3189.03             3095.463            3090.942            3091.491            3094.558            3091.297            93.56738 
 317.12             3430.26             3096.074            3091.537            3092.088            3095.166            3091.894            334.1863 
 317.07             3133.3              3097.109            3092.556            3093.109            3096.198            3092.915            36.19141 
 317.02             3088.38             3097.646            3093.078            3093.633            3096.733            3093.438           -9.266602 
 316.97             3205.06             3098.112            3093.527            3094.083            3097.195            3093.889            106.948 
 316.92             3257.07             3098.782            3094.182            3094.74             3097.862            3094.544            158.2878 
 316.87             3412.87             3099.55             3094.933            3095.493            3098.626            3095.298            313.3201 
 316.82             3149.51             3100.597            3095.964            3096.525            3099.67             3096.33             48.91333 
 316.77             3055.34             3101.204            3096.555            3097.118            3100.274            3096.922           -45.86401 
 316.72             2984.63             3101.655            3096.989            3097.554            3100.721            3097.358           -117.0247 
 316.67             3146.26             3101.985            3097.303            3097.87             3101.048            3097.674            44.27466 
 316.62             3217.17             3102.595            3097.896            3098.464            3101.655            3098.268            114.575 
 316.57             2946.16             3103.333            3098.617            3099.188            3102.389            3098.991           -157.1731 
 316.52             3299.03             3103.611            3098.878            3099.45             3102.664            3099.254            195.4192 
 316.47             3190.8              3104.497            3099.748            3100.322            3103.546            3100.125            86.30273 
 316.42             3201.6              3105.208            3100.442            3101.018            3104.254            3100.821            96.3916 
 316.37             3382.01             3105.945            3101.162            3101.739            3104.987            3101.542            276.0649 
 316.32             3130.42             3107.002            3102.201            3102.781            3106.041            3102.583            23.41821 
 316.27             3191.19             3107.639            3102.821            3103.402            3106.674            3103.204            83.55103 
 316.22             3214.39             3108.386            3103.551            3104.134            3107.418            3103.936            106.0039 
 316.17             3108.87             3109.181            3104.328            3104.913            3108.209            3104.715           -.3110352 
 316.12             3288.72             3109.803            3104.932            3105.519            3108.827            3105.321            178.917 
 316.07             3390.83             3110.74             3105.852            3106.44             3109.76             3106.242            280.0903 
 316.02             3227.87             3111.865            3106.959            3107.55             3110.882            3107.351            116.0051 
 315.97             3228.45             3112.724            3107.8              3108.393            3111.738            3108.194            115.7261 
 315.92             3246.86             3113.593            3108.652            3109.246            3112.603            3109.047            133.2668 
 315.87             3172.6              3114.504            3109.544            3110.14             3113.51             3109.941            58.09644 
 315.82             3327.93             3115.296            3110.318            3110.917            3114.299            3110.717            212.6338 
 315.77             3411.22             3116.365            3111.369            3111.969            3115.364            3111.769            294.8555 
 315.72             3219.91             3117.59             3112.576            3113.178            3116.585            3112.979            102.3196 
 315.67             3188.32             3118.502            3113.469            3114.073            3117.493            3113.874            69.81812 
 315.62             3277.37             3119.368            3114.317            3114.923            3118.356            3114.723            158.002 
 315.57             3367.2              3120.397            3115.327            3115.935            3119.381            3115.735            246.8027 
 315.52             3243.05             3121.593            3116.504            3117.114            3120.573            3116.914            121.4573 
 315.47             3197.21             3122.589            3117.481            3118.094            3121.565            3117.893            74.62085 
