B.E.(eV)           Raw Intensity       Peak Sum            Background          Peak 1              difference
 540.97             8314.68             8622.081            8609.797            8622.081           -307.4014 
 540.92             8789.68             8622.27             8609.845            8622.27             167.4102 
 540.87             8989.06             8622.383            8609.815            8622.383            366.6768 
 540.82             8435.6              8622.468            8609.756            8622.468           -186.8682 
 540.77             8448.49             8622.643            8609.783            8622.643           -174.1523 
 540.72             8445                8622.818            8609.809            8622.818           -177.8184 
 540.67             8347.87             8622.998            8609.835            8622.998           -275.1279 
 540.62             8667.11             8623.195            8609.877            8623.195            43.91504 
 540.57             8626.7              8623.344            8609.867            8623.344            3.356445 
 540.52             8428.42             8623.503            8609.865            8623.503           -195.083 
 540.47             8820.99             8623.695            8609.894            8623.695            197.2949 
 540.42             8809.04             8623.828            8609.86             8623.828            185.2119 
 540.37             8944.39             8623.966            8609.828            8623.966            320.4238 
 540.32             8500.96             8624.086            8609.775            8624.086           -123.126 
 540.27             9010.9              8624.28             8609.793            8624.28             386.6201 
 540.22             8929.86             8624.396            8609.729            8624.396            305.4648 
 540.17             8725.67             8624.527            8609.678            8624.527            101.1426 
 540.12             8736.22             8624.694            8609.659            8624.694            111.5254 
 540.07             8764.37             8624.864            8609.64             8624.864            139.5059 
 540.02             8487.03             8625.033            8609.615            8625.033           -138.0029 
 539.97             8513.96             8625.25             8609.635            8625.25            -111.29 
 539.92             8540.93             8625.466            8609.649            8625.466           -84.53613 
 539.87             8565.66             8625.681            8609.66             8625.681           -60.02051 
 539.82             8957.39             8625.896            8609.667            8625.896            331.4941 
 539.77             8780.03             8626.054            8609.612            8626.054            153.9766 
 539.72             8631.27             8626.243            8609.585            8626.243            5.026367 
 539.67             8569.94             8626.461            8609.582            8626.461           -56.52051 
 539.62             8807.06             8626.692            8609.588            8626.692            180.3672 
 539.57             9051.81             8626.892            8609.557            8626.892            424.918 
 539.52             8688                8627.056            8609.486            8627.056            60.94434 
 539.47             8679.87             8627.282            8609.474            8627.282            52.58789 
 539.42             8733.11             8627.516            8609.463            8627.516            105.5947 
 539.37             8907.28             8627.745            8609.443            8627.745            279.5352 
 539.32             8743.07             8627.951            8609.396            8627.951            115.1191 
 539.27             8457.6              8628.19             8609.375            8628.19            -170.5908 
 539.22             8431.32             8628.479            8609.398            8628.479           -197.1592 
 539.17             8506.63             8628.778            8609.427            8628.778           -122.1484 
 539.12             8531.69             8629.071            8609.443            8629.071           -97.38086 
 539.07             8306.92             8629.366            8609.456            8629.366           -322.4463 
 539.02             8738.4              8629.702            8609.504            8629.702            108.6982 
 538.97             8596.36             8629.977            8609.483            8629.977           -33.61621 
 538.92             8519.04             8630.279            8609.485            8630.279           -111.2393 
 538.87             8836.16             8630.602            8609.5              8630.602            205.5586 
 538.82             8681.08             8630.88             8609.464            8630.88             50.2002 
 538.77             8648.55             8631.19             8609.452            8631.19             17.35938 
 538.72             8771.42             8631.513            8609.446            8631.513            139.9072 
 538.67             9078.91             8631.823            8609.42             8631.823            447.0869 
 538.62             8839.53             8632.093            8609.346            8632.093            207.4375 
 538.57             8769.02             8632.408            8609.31             8632.408            136.6113 
 538.52             8226.62             8632.742            8609.284            8632.742           -406.1221 
 538.47             8641.88             8633.171            8609.345            8633.171            8.708984 
 538.42             8716.92             8633.543            8609.34             8633.543            83.37695 
 538.37             8920.73             8633.911            8609.322            8633.911            286.8193 
 538.32             8569.06             8634.256            8609.272            8634.256           -65.19629 
 538.27             8719.13             8634.667            8609.279            8634.667            84.46289 
 538.22             8716.49             8635.064            8609.262            8635.064            81.42578 
 538.17             8905.94             8635.472            8609.245            8635.472            270.4688 
 538.12             9005.94             8635.858            8609.197            8635.858            370.082 
 538.07             8687.37             8636.241            8609.135            8636.241            51.12891 
 538.02             8768.97             8636.685            8609.122            8636.685            132.2852 
 537.97             8627.58             8637.128            8609.097            8637.128           -9.547852 
 537.92             8475.67             8637.604            8609.094            8637.604           -161.9346 
 537.87             8675.54             8638.118            8609.115            8638.118            37.42188 
 537.82             8335.84             8638.612            8609.104            8638.612           -302.7725 
 537.77             8544.77             8639.173            8609.147            8639.173           -94.40332 
 537.72             8575.44             8639.716            8609.158            8639.716           -64.27539 
 537.67             8635.36             8640.267            8609.163            8640.267           -4.90625 
 537.62             8426.93             8640.822            8609.159            8640.822           -213.8926 
 537.57             8787.16             8641.427            8609.188            8641.427            145.7334 
 537.52             8581.1              8641.989            8609.16             8641.989           -60.88965 
 537.47             8511.59             8642.601            8609.164            8642.601           -131.0107 
 537.42             8657.92             8643.24             8609.18             8643.24             14.67969 
 537.37             8679.42             8643.873            8609.172            8643.873            35.54688 
 537.32             8458.87             8644.522            8609.161            8644.522           -185.6523 
 537.27             8848.56             8645.224            8609.185            8645.224            203.3359 
 537.22             8741.72             8645.885            8609.146            8645.885            95.83496 
 537.17             8218.22             8646.582            8609.126            8646.582           -428.3623 
 537.12             8260.32             8647.384            8609.188            8647.384           -387.0635 
 537.07             8128.25             8648.201            8609.243            8648.201           -519.9512 
 537.02             8300.81             8649.063            8609.319            8649.063           -348.2539 
 536.97             8426.78             8649.924            8609.369            8649.924           -223.1436 
 536.92             8609.92             8650.788            8609.397            8650.788           -40.86816 
 536.87             8982.86             8651.651            8609.397            8651.651            331.209 
 536.82             8912.18             8652.482            8609.338            8652.482            259.6973 
 536.77             8760.38             8653.356            8609.29             8653.356            107.0234 
 536.72             8502.7              8654.288            8609.267            8654.288           -151.5879 
 536.67             8530.53             8655.293            8609.283            8655.293           -124.7627 
 536.62             8810.59             8656.33             8609.296            8656.33             154.2598 
 536.57             8559.95             8657.361            8609.264            8657.361           -97.41113 
 536.52             8610.17             8658.474            8609.271            8658.474           -48.30371 
 536.47             8474                8659.626            8609.271            8659.626           -185.626 
 536.42             8395.93             8660.848            8609.293            8660.848           -264.918 
 536.37             8681.08             8662.135            8609.327            8662.135            18.94531 
 536.32             8500.18             8663.435            8609.315            8663.435           -163.2549 
 536.27             8744.21             8664.827            8609.333            8664.827            79.38281 
 536.22             8557.17             8666.254            8609.312            8666.254           -109.084 
 536.17             8645.13             8667.785            8609.319            8667.785           -22.65527 
 536.12             8534.44             8669.39             8609.313            8669.39            -134.9492 
 536.07             8659.24             8671.109            8609.326            8671.109           -11.86914 
 536.02             8766.08             8672.915            8609.318            8672.915            93.16504 
 535.97             8681                8674.826            8609.293            8674.826            6.173828 
 535.92             8618.68             8676.883            8609.281            8676.883           -58.20313 
 535.87             8677.54             8679.102            8609.28             8679.102           -1.561523 
 535.82             8842.85             8681.48             8609.27             8681.48             161.3691 
 535.77             8654.66             8684.025            8609.232            8684.025           -29.36523 
 535.72             8772.36             8686.818            8609.225            8686.818            85.54199 
 535.67             8723.06             8689.833            8609.199            8689.833            33.22656 
 535.62             8656.62             8693.13             8609.181            8693.13            -36.50977 
 535.57             8385.07             8696.747            8609.174            8696.747           -311.6768 
 535.52             8661.29             8700.754            8609.209            8700.754           -39.46387 
 535.47             8719.32             8705.115            8609.201            8705.115            14.20508 
 535.42             8807.44             8709.901            8609.184            8709.901            97.53906 
 535.37             8323.32             8715.168            8609.151            8715.168           -391.8477 
 535.32             8619.26             8721.065            8609.197            8721.065           -101.8057 
 535.27             8494.58             8727.534            8609.195            8727.534           -232.9541 
 535.22             8456.09             8734.724            8609.214            8734.724           -278.6338 
 535.17             8528.82             8742.68             8609.238            8742.68            -213.8594 
 535.12             8837.65             8751.48             8609.251            8751.48             86.16992 
 535.07             8789.6              8761.18             8609.215            8761.18             28.41992 
 535.02             8804.38             8771.935            8609.186            8771.935            32.44531 
 534.97             8907.76             8783.859            8609.155            8783.859            123.9004 
 534.92             8875.32             8797.023            8609.107            8797.023            78.29688 
 534.87             8677.44             8811.586            8609.065            8811.586           -134.1455 
 534.82             8914.96             8827.702            8609.055            8827.702            87.25781 
 534.77             8702.51             8845.438            8609.006            8845.438           -142.9287 
 534.72             8931.21             8865.035            8608.991            8865.035            66.1748 
 534.67             8894.77             8886.519            8608.939            8886.519            8.250977 
 534.62             8762.31             8910.109            8608.895            8910.109           -147.7998 
 534.57             8930                8935.978            8608.87             8935.978           -5.977539 
 534.52             9358.55             8964.233            8608.819            8964.233            394.3164 
 534.47             8862.13             8995.034            8608.7              8995.034           -132.9043 
 534.42             8980.13             9028.611            8608.659            9028.611           -48.48145 
 534.37             9113.95             9065.063            8608.601            9065.063            48.8877 
 534.32             8962.53             9104.535            8608.521            9104.535           -142.0049 
 534.27             9341.86             9147.223            8608.464            9147.223            194.6377 
 534.22             9258.63             9193.238            8608.348            9193.238            65.3916 
 534.17             9148.01             9242.67             8608.244            9242.67            -94.66016 
 534.12             9385.25             9295.692            8608.158            9295.692            89.55762 
 534.07             9479.56             9352.349            8608.035            9352.349            127.2109 
 534.02             9441.65             9412.741            8607.896            9412.741            28.90918 
 533.97             9739.22             9477.033            8607.764            9477.033            262.1865 
 533.92             9725                9545.05             8607.584            9545.05             179.9502 
 533.87             9923.01             9616.927            8607.407            9616.927            306.083 
 533.82             9927.02             9692.61             8607.198            9692.61             234.4092 
 533.77             10051.4             9772.082            8606.988            9772.082            279.3184 
 533.72             10100               9855.343            8606.759            9855.343            244.6572 
 533.67             9897.54             9942.083            8606.521            9942.083           -44.54297 
 533.62             9892.52             10032.29            8606.316            10032.29           -139.7666 
 533.57             10136.2             10125.73            8606.112            10125.73            10.47363 
 533.52             10353.6             10222.13            8605.869            10222.13            131.4697 
 533.47             10617.6             10321.35            8605.592            10321.35            296.251 
 533.42             10408               10422.82            8605.271            10422.82           -14.81641 
 533.37             10578.8             10526.37            8604.985            10526.37            52.43066 
