546.02	8435.31
545.97	8324.3
545.92	8584.05
545.87	8405.34
545.82	8387.57
545.77	8794.05
545.72	8456.15
545.67	8574.88
545.62	8387.21
545.57	8278.41
545.52	8352.77
545.47	8365.37
545.42	8411.63
545.37	8281.8
545.32	8415.08
545.27	8685.96
545.22	8732.83
545.17	8399.22
545.12	8403.4
545.07	8447.76
545.02	8461.66
544.97	8319.24
544.92	8270.74
544.87	8277.8
544.82	8478.88
544.77	8652.2
544.72	8580.76
544.67	8226.7
544.62	8461.12
544.57	8405.1
544.52	8466.5
544.47	8323.25
544.42	8468.16
544.37	8703.9
544.32	8436.57
544.27	8229.55
544.22	8334.76
544.17	8368.29
544.12	8534.75
544.07	8336.14
544.02	8257.86
543.97	8373.89
543.92	8280.15
543.87	8281.76
543.82	8709.77
543.77	8318.19
543.72	8110.79
543.67	8497.44
543.62	8392.43
543.57	8233.33
543.52	8273.13
543.47	8365.05
543.42	8389.54
543.37	8262.12
543.32	8169.33
543.27	8298.42
543.22	8742.37
543.17	8571.83
543.12	8731.83
543.07	8542.52
543.02	8423.89
542.97	8126.33
542.92	8374.87
542.87	8422.76
542.82	8197.68
542.77	8386.91
542.72	8576.96
542.67	8264.54
542.62	8371.09
542.57	8491.23
542.52	8579.37
542.47	8550.83
542.42	8494.85
542.37	8478.22
542.32	8532.52
542.27	8492.56
542.22	8488.44
542.17	8333.76
542.12	8293.93
542.07	8371.72
542.02	8186.61
541.97	8281.45
541.92	8418.82
541.87	8433.49
541.82	8347.47
541.77	8451.32
541.72	8536.9
541.67	8148.71
541.62	8431.2
541.57	8303.02
541.52	8406.91
541.47	8488.16
541.42	8292.9
541.37	8364.63
541.32	8426.04
541.27	8504.95
541.22	8279.67
541.17	8664.27
541.12	8596.46
541.07	8463.52
541.02	8335.24
540.97	8380.87
540.92	8482.66
540.87	8323.62
540.82	8769.13
540.77	8607.94
540.72	8419.84
540.67	8525.67
540.62	8541.71
540.57	8402.22
540.52	8445.62
540.47	8471.11
540.42	8586.73
540.37	8576.34
540.32	8388.64
540.27	8541.15
540.22	8730.54
540.17	8461.69
540.12	8539.81
540.07	8214.78
540.02	8343.94
539.97	8444.18
539.92	8766.96
539.87	8607.47
539.82	8545.39
539.77	8646.03
539.72	8634.28
539.67	8360.38
539.62	8238.32
539.57	8417.93
539.52	8322.22
539.47	8516.02
539.42	8631.39
539.37	8814.43
539.32	8367.4
539.27	8314.11
539.22	8626.95
539.17	8382.31
539.12	8583.8
539.07	8670.68
539.02	8555.62
538.97	8413.91
538.92	8653.23
538.87	8546.87
538.82	8335.99
538.77	8327.56
538.72	8559.7
538.67	8276.15
538.62	8671.18
538.57	8515.53
538.52	8119.65
538.47	8158.34
538.42	8129.74
538.37	8642.13
538.32	8551.6
538.27	8393.03
538.22	8404.39
538.17	8166.48
538.12	8368.47
538.07	8367.93
538.02	8390.63
537.97	8597.87
537.92	8224.07
537.87	8617.75
537.82	8690.9
537.77	8160.19
537.72	8026.47
537.67	8454.95
537.62	8522.27
537.57	8342.67
537.52	8449.38
537.47	8711.74
537.42	8436.26
537.37	8431.85
537.32	8557.36
537.27	8349.58
537.22	8321.59
537.17	8635.43
537.12	8337.16
537.07	8480.05
537.02	8639.36
536.97	8374.51
536.92	8472.26
536.87	8644.76
