B.E.(eV)           Raw Intensity       Peak Sum            Background          Peak 1              Peak 2              Peak 3              Peak 4              Peak 5              Peak 6              difference
 38.17              342.569             366.9518            361.1716            361.1888            361.218             361.2109            361.2456            361.284             366.6627           -24.38281 
 38.12              330.392             367.0339            361.217             361.2342            361.2635            361.2564            361.2912            361.3298            366.7437           -36.64191 
 38.07              338.143             367.1461            361.2921            361.3093            361.3388            361.3316            361.3666            361.4055            366.8547           -29.00311 
 38.02              334.866             367.24              361.3485            361.3658            361.3954            361.3882            361.4233            361.4624            366.9474           -32.37396 
 37.97              346.499             367.3423            361.413             361.4304            361.4601            361.4529            361.4882            361.5274            367.0485           -20.84329 
 37.92              361.084             367.4168            361.4494            361.4668            361.4966            361.4893            361.5248            361.5643            367.1219           -6.332794 
 37.87              354.41              367.4562            361.4503            361.4677            361.4976            361.4904            361.526             361.5657            367.1601           -13.04617 
 37.82              331.781             367.5122            361.4674            361.4849            361.5149            361.5077            361.5435            361.5834            367.2149           -35.7312 
 37.77              387.031             367.6239            361.5398            361.5573            361.5874            361.5802            361.6162            361.6563            367.3254            19.40714 
 37.72              369.208             367.6014            361.4777            361.4953            361.5254            361.5182            361.5544            361.5947            367.3017            1.606567 
 37.67              358.387             367.6226            361.4588            361.4764            361.5067            361.4995            361.5358            361.5764            367.3217           -9.235596 
 37.62              354.438             367.6706            361.4663            361.484             361.5144            361.5072            361.5437            361.5844            367.3685           -13.2326 
 37.57              364.738             367.7286            361.4834            361.5012            361.5316            361.5244            361.5611            361.6021            367.4252           -2.99057 
 37.52              360.464             367.762             361.4755            361.4933            361.5239            361.5167            361.5535            361.5948            367.4573           -7.297974 
 37.47              319.076             367.8061            361.478             361.4958            361.5266            361.5193            361.5563            361.5978            367.5003           -48.73013 
 37.42              376.871             367.9515            361.5813            361.5992            361.63              361.6228            361.66              361.7017            367.6444            8.919464 
 37.37              400.344             367.9568            361.5441            361.562             361.5929            361.5857            361.623             361.665             367.6484            32.38718 
 37.32              346.491             367.9052            361.4495            361.4675            361.4985            361.4913            361.5288            361.571             367.5956           -21.41425 
 37.27              359.844             367.9851            361.486             361.5041            361.5351            361.5279            361.5656            361.608             367.6742           -8.141083 
 37.22              367.087             368.0329            361.49              361.5081            361.5393            361.532             361.5699            361.6126            367.7207           -.9458923 
 37.17              355.146             368.0636            361.4763            361.4945            361.5258            361.5186            361.5566            361.5995            367.7501           -12.91757 
 37.12              375.406             368.1238            361.4917            361.51              361.5414            361.5341            361.5724            361.6156            367.809             7.282227 
 37.07              376.831             368.1351            361.4578            361.4761            361.5076            361.5004            361.5388            361.5822            367.819             8.695923 
 37.02              383.037             368.1433            361.4203            361.4387            361.4703            361.4631            361.5017            361.5453            367.8259            14.89371 
 36.97              369.452             368.1368            361.3677            361.3861            361.4178            361.4106            361.4494            361.4933            367.8181            1.315216 
 36.92              378.107             368.1638            361.348             361.3664            361.3983            361.391             361.43              361.4742            367.8437            9.943237 
 36.87              343.713             368.1701            361.3071            361.3257            361.3576            361.3503            361.3895            361.434             367.8487           -24.45709 
 36.82              358.115             368.2607            361.35              361.3686            361.4006            361.3934            361.4327            361.4774            367.9379           -10.14566 
 36.77              336.279             368.3167            361.3579            361.3765            361.4087            361.4014            361.441             361.4859            367.9926           -32.03775 
 36.72              324.786             368.4265            361.419             361.4377            361.47              361.4627            361.5024            361.5477            368.1011           -43.64053 
 36.67              333.241             368.5651            361.5083            361.527             361.5594            361.5522            361.5921            361.6376            368.2382           -35.32413 
