B.E.(eV)           Raw Intensity       Peak Sum            Background          Peak 1              Peak 2              Peak 3              Peak 4              Peak 5              Peak 6              difference
 30.02              426.611             408.7973            357.8425            357.8722            357.9265            357.9212            358.0068            358.1243            408.1588            17.81366 
 29.97              460.212             410.1039            357.6749            357.7047            357.7592            357.754             357.8402            357.9587            409.4615            50.10815 
 29.92              438.663             411.375             357.425             357.4549            357.5097            357.5045            357.5913            357.7109            410.7287            27.28799 
 29.87              446.026             412.7461            357.227             357.257             357.312             357.3069            357.3943            357.515             412.0958            33.27991 
 29.82              486.351             414.1481            357.0106            357.0408            357.096             357.0909            357.1789            357.3007            413.4937            72.20291 
 29.77              431.425             415.5014            356.6954            356.7257            356.7812            356.7762            356.8647            356.9875            414.843             15.92355 
 29.72              437.703             417.0393            356.5132            356.5437            356.5994            356.5944            356.6836            356.8076            416.3769            20.6637 
 29.67              452.921             418.6139            356.3154            356.3459            356.4019            356.397             356.4868            356.6118            417.9473            34.3071 
 29.62              479.34              420.2046            356.08              356.1106            356.1668            356.162             356.2524            356.3786            419.5338            59.13544 
 29.57              502.129             421.785             355.7795            355.8103            355.8668            355.862             355.9531            356.0804            421.1101            80.34399 
 29.52              494.17              423.365             355.4229            355.4537            355.5105            355.5057            355.5975            355.726             422.6858            70.80502 
 29.47              498.78              425.0204            355.0847            355.1157            355.1727            355.1681            355.2604            355.3901            424.337             73.75955 
 29.42              459.32              426.7218            354.7345            354.7657            354.8229            354.8183            354.9113            355.0422            426.034             32.59821 
 29.37              448.912             428.5775            354.4797            354.511             354.5685            354.5639            354.6576            354.7897            427.8853            20.33444 
 29.32              479.66              430.5182            354.2495            354.2809            354.3387            354.3342            354.4286            354.5618            429.8216            49.14182 
 29.27              530.664             432.4445            353.9438            353.9754            354.0334            354.029             354.124             354.2585            431.7434            98.21954 
 29.22              491.869             434.308             353.5132            353.5448            353.6031            353.5988            353.6945            353.8303            433.6024            57.56097 
 29.17              456.178             436.3282            353.176             353.2078            353.2664            353.262             353.3585            353.4955            435.618             19.84985 
 29.12              450.76              438.4987            352.925             352.9569            353.0157            353.0115            353.1086            353.2469            437.784             12.26132 
 29.07              507.791             440.7471            352.6865            352.7186            352.7777            352.7735            352.8713            353.011             440.0277            67.04388 
 29.02              551.168             442.922             352.3085            352.3407            352.4001            352.3959            352.4945            352.6355            442.1979            108.2461 
 28.97              523.91              445.0574            351.8239            351.8562            351.9159            351.9118            352.0111            352.1534            444.3286            78.85257 
 28.92              494.882             447.3259            351.4045            351.4369            351.4969            351.4929            351.5929            351.7365            446.5923            47.55609 
 28.87              522.757             449.733             351.0548            351.0874            351.1476            351.1437            351.2444            351.3895            448.9946            73.02405 
 28.82              477.999             452.1411            350.6364            350.6691            350.7296            350.7257            350.8272            350.9736            451.3978            25.85791 
 28.77              538.844             454.7275            350.326             350.3588            350.4196            350.4158            350.5181            350.6659            453.9793            84.11649 
 28.72              484.318             457.2363            349.8665            349.8995            349.9605            349.9568            350.0599            350.2091            456.483             27.08173 
 28.67              484.122             459.9486            349.5388            349.5719            349.6333            349.6296            349.7335            349.8842            459.1904            24.17337 
 28.62              503.677             462.7334            349.2109            349.2441            349.3058            349.3022            349.4068            349.5589            461.97              40.9436 
 28.57              544.866             465.543             348.8344            348.8678            348.9297            348.9262            349.0316            349.1852            464.7745            79.32303 
 28.52              563.798             468.3252            348.3567            348.3902            348.4524            348.449             348.5551            348.7103            467.5515            95.47281 
 28.47              535.138             471.1345            347.8316            347.8652            347.9278            347.9244            348.0314            348.1881            470.3556            64.00351 
 28.42              499.552             474.0873            347.3751            347.4089            347.4717            347.4684            347.5763            347.7345            473.303             25.46469 
 28.37              485.926             477.201             347.0042            347.0381            347.1013            347.0981            347.2067            347.3665            476.4114            8.725006 
 28.32              529.224             480.423             346.6656            346.6997            346.7631            346.76              346.8695            347.0309            479.628             48.80099 
 28.27              578.151             483.6147            346.2208            346.255             346.3187            346.3157            346.426             346.589             482.8141            94.53635 
 28.22              554.25              486.7625            345.6555            345.6898            345.7539            345.751             345.8621            346.0268            485.9565            67.48746 
 28.17              539.856             490.0437            345.1472            345.1816            345.246             345.2431            345.3552            345.5215            489.2321            49.81229 
 28.12              532.473             493.4356            344.6726            344.7072            344.7719            344.7691            344.882             345.0501            492.6182            39.03745 
 28.07              559.796             496.9213            344.2149            344.2497            344.3147            344.312             344.4258            344.5955            496.0982            62.87476 
 28.02              532.689             500.416             343.6895            343.7244            343.7897            343.7871            343.9018            344.0733            499.5872            32.27304 
 27.97              577.027             504.0526            343.2289            343.264             343.3296            343.3271            343.4427            343.616             503.2179            72.97443 
 27.92              511.152             507.6565            342.6591            342.6943            342.7603            342.7579            342.8743            343.0494            506.8159            3.495544 
 27.87              527.823             511.4961            342.2485            342.2838            342.3501            342.3478            342.4652            342.6421            510.6495            16.32687 
 27.82              565.418             515.3705            341.7962            341.8317            341.8983            341.8961            342.0144            342.1931            514.5179            50.04749 
 27.77              540.464             519.2281            341.2512            341.2869            341.3538            341.3517            341.4709            341.6516            518.3694            21.23584 
 27.72              503.473             523.2209            340.7657            340.8015            340.8687            340.8667            340.9869            341.1694            522.356            -19.74789 
 27.67              543.533             527.3774            340.3692            340.4052            340.4727            340.4708            340.592             340.7764            526.5063            16.15558 
 27.62              624.022             531.5098            339.874             339.9102            339.9781            339.9762            340.0984            340.2848            530.6323            92.51221 
 27.57              594.726             535.5188            339.1815            339.2178            339.286             339.2843            339.4075            339.5958            534.6349            59.20721 
 27.52              580.24              539.6704            338.5587            338.5952            338.6638            338.6622            338.7863            338.9767            538.78              40.56958 
 27.47              587.231             543.9281            337.9697            338.0063            338.0752            338.0738            338.1989            338.3913            543.0312            43.30292 
 27.42              593.093             548.2384            337.3622            337.399             337.4683            337.4669            337.593             337.7875            547.3348            44.85461 
 27.37              591.661             552.6031            336.739             336.7759            336.8455            336.8443            336.9715            337.1681            551.6929            39.05786 
 27.32              593.653             557.0392            336.1177            336.1548            336.2248            336.2236            336.3519            336.5506            556.1222            36.61383 
 27.27              645.382             561.5366            335.4901            335.5273            335.5976            335.5966            335.7259            335.9268            560.6127            83.8454 
 27.22              663.053             565.9733            334.7349            334.7723            334.8429            334.842             334.9724            335.1755            565.0424            97.07971 
 27.17              576.551             570.4299            333.9347            333.9723            334.0433            334.0425            334.174             334.3793            569.4921            6.121094 
 27.12              612.853             575.1592            333.3434            333.3811            333.4525            333.4518            333.5844            333.792             574.2143            37.69385 
 27.07              628.976             579.8608            332.6622            332.7001            332.7719            332.7713            332.905             333.1149            578.9088            49.11517 
 27.02              645.478             584.5819            331.9401            331.9781            332.0503            332.0498            332.1846            332.3969            583.6226            60.89612 
 26.97              611.597             589.3197            331.1759            331.2142            331.2866            331.2863            331.4223            331.6369            588.353             22.27728 
 26.92              622.705             594.1949            330.4925            330.5309            330.6038            330.6036            330.7407            330.9578            593.2208            28.51013 
 26.87              629.188             599.0961            329.7804            329.8189            329.8922            329.8921            330.0304            330.2499            598.1144            30.09192 
 26.82              602.465             604.0327            329.0507            329.0894            329.163             329.1631            329.3026            329.5246            603.0433           -1.567627 
 26.77              676.299             609.0828            328.3843            328.4232            328.4972            328.4975            328.6381            328.8627            608.0858            67.21619 
 26.72              701.216             613.9999            327.5364            327.5755            327.6498            327.6502            327.7921            328.0192            612.9951            87.21606 
 26.67              694.878             618.8998            326.6257            326.665             326.7397            326.7402            326.8833            327.1131            617.8871            75.97821 
 26.62              687.411             623.8563            325.7283            325.7677            325.8428            325.8435            325.9878            326.2202            622.8356            63.55469 
 26.57              707.111             628.8697            324.8468            324.8864            324.9619            324.9627            325.1083            325.3434            627.8409            78.24133 
 26.52              658.96              633.8707            323.9152            323.955             324.0309            324.0318            324.1787            324.4165            632.8337            25.08929 
 26.47              721.625             639.0225            323.0986            323.1386            323.2149            323.216             323.3642            323.6048            637.9771            82.60254 
 26.42              720.672             644.0515            322.1274            322.1675            322.2442            322.2455            322.3949            322.6385            642.9978            76.62048 
 26.37              639.904             649.11              321.1561            321.1964            321.2735            321.275             321.4257            321.6721            648.0477           -9.205994 
 26.32              701.989             654.3894            320.3793            320.4198            320.4973            320.4989            320.651             320.9003            653.3185            47.59961 
 26.27              662.749             659.5386            319.4492            319.49              319.5679            319.5696            319.7231            319.9754            658.4589            3.210449 
 26.22              705.746             664.8009            318.6126            318.6535            318.7318            318.7337            318.8886            319.1439            663.7124            40.94507 
 26.17              730.308             669.9727            317.6691            317.7102            317.7889            317.791             317.9472            318.2057            668.8752            60.33533 
 26.12              744.606             675.0953            316.6635            316.7047            316.7839            316.7861            316.9438            317.2053            673.9888            69.51068 
 26.07              755.966             680.1901            315.6205            315.6619            315.7415            315.7439            315.903             316.1678            679.0743            75.77594 
 26.02              686.082             685.2601            314.5473            314.589             314.669             314.6715            314.8321            315.1001            684.1351            .8218384 
 25.97              692.557             690.5               313.6418            313.6837            313.7641            313.7668            313.9288            314.2002            689.3655            2.057007 
 25.92              767.595             695.7197            312.7184            312.7604            312.8412            312.8442            313.0077            313.2823            694.5757            71.87524 
 25.87              686.427             700.7485            311.6098            311.652             311.7333            311.7365            311.9014            312.1795            699.5947           -14.32153 
 25.82              711.248             705.9626            310.6963            310.7387            310.8205            310.8238            310.9903            311.2719            704.799             5.2854 
 25.77              754.554             711.0997            309.7201            309.7627            309.8449            309.8484            310.0164            310.3016            709.9261            43.45428 
 25.72              700.108             716.111             308.636             308.6788            308.7614            308.7651            308.9348            309.2235            714.9272           -16.00299 
 25.67              774.542             721.2294            307.6819            307.7249            307.808             307.8119            307.9831            308.2755            720.0355            53.31256 
 25.62              731.425             726.1373            306.5441            306.5873            306.6709            306.675             306.8478            307.1439            724.933             5.287659 
 25.57              748.788             731.1165            305.5086            305.5521            305.6361            305.6404            305.8148            306.1147            729.9016            17.67157 
 25.52              732.105             736.0146            304.4283            304.472             304.5564            304.5609            304.737             305.0408            734.7892           -3.909668 
 25.47              743.017             740.9106            303.386             303.4299            303.5148            303.5195            303.6973            304.005             739.6744            2.106384 
 25.42              733.497             745.7322            302.3146            302.3586            302.444             302.4489            302.6284            302.9401            744.4849           -12.23517 
 25.37              787.327             750.5245            301.2638            301.308             301.3939            301.399             301.5802            301.896             749.2662            36.80249 
 25.32              751.685             755.1289            300.0792            300.1236            300.21              300.2153            300.3983            300.7182            753.8593           -3.443909 
 25.27              793.906             759.7574            298.9785            299.0232            299.11              299.1156            299.3003            299.6245            758.4764            34.14856 
 25.22              782.773             764.2164            297.7723            297.8172            297.9045            297.9104            298.0968            298.4254            762.9238            18.55658 
 25.17              810.18              768.6301            296.5903            296.6354            296.7232            296.7293            296.9176            297.2505            767.3258            41.54987 
 25.12              777.459             772.9001            295.3387            295.384             295.4723            295.4785            295.6687            296.0061            771.5838            4.558899 
 25.07              761.413             777.1677            294.1637            294.2092            294.298             294.3046            294.4966            294.8385            775.8394           -15.7547 
 25.02              777.663             781.3872            293.0249            293.0707            293.16              293.1667            293.3607            293.7072            780.0465           -3.724182 
 24.97              794.002             785.4752            291.8438            291.8898            291.9796            291.9866            292.1824            292.5338            784.1221            8.526794 
 24.92              753.485             789.426             290.62              290.6662            290.7565            290.7638            290.9615            291.3177            788.0602           -35.94098 
 24.87              756.351             793.3729            289.4919            289.5384            289.6292            289.6367            289.8365            290.1975            791.9944           -37.02191 
 24.82              741.901             797.206             288.3541            288.4008            288.4921            288.4999            288.7017            289.0677            795.8144           -55.30499 
 24.77              768.131             800.9617            287.2488            287.2957            287.3876            287.3956            287.5994            287.9706            799.5569           -32.83069 
 24.72              822.545             804.5363            286.0768            286.124             286.2164            286.2247            286.4305            286.8069            803.118             18.00873 
 24.67              790.372             807.8554            284.7694            284.8167            284.9097            284.9183            285.1262            285.5079            806.4236           -17.4834 
 24.62              800.296             811.1251            283.5372            283.5847            283.6782            283.6871            283.8972            284.2843            809.6794           -10.8291 
 24.57              809.304             814.2382            282.2778            282.3256            282.4196            282.4287            282.641             283.0336            812.7784           -4.934143 
 24.52              769.4               817.1914            280.9933            281.0414            281.136             281.1454            281.3598            281.7581            815.7175           -47.79138 
 24.47              743.713             820.0995            279.803             279.8513            279.9464            279.9562            280.1728            280.5768            818.6111           -76.38647 
 24.42              741.02              822.923             278.6724            278.7209            278.8166            278.8267            279.0456            279.4554            821.4199           -81.90295 
 24.37              788.756             825.6014            277.5456            277.5944            277.6906            277.701             277.9221            278.338             824.0834           -36.8454 
 24.32              772.745             828.0076            276.2997            276.3488            276.4456            276.4562            276.6797            277.1017            826.4744           -55.26257 
 24.27              791.152             830.2916            275.0898            275.1391            275.2365            275.2474            275.4733            275.9015            828.743            -39.13965 
 24.22              754.938             832.3658            273.8322            273.8817            273.9796            273.9909            274.2191            274.6537            830.8016           -77.42786 
 24.17              764.554             834.3588            272.6597            272.7094            272.808             272.8195            273.0502            273.4913            832.7786           -69.80475 
 24.12              803.898             836.155             271.4609            271.5109            271.61              271.6219            271.8551            272.3028            834.5587           -32.25696 
 24.07              773.497             837.6781            270.1632            270.2135            270.3132            270.3255            270.5611            271.0156            836.0654           -64.18109 
 24.02              797.503             839.0942            268.9365            268.987             269.0873            269.0999            269.3382            269.7995            837.4648           -41.59125 
 23.97              791.377             840.2675            267.6484            267.6992            267.8               267.813             268.0538            268.5222            838.6212           -48.8905 
 23.92              764.022             841.2677            266.372             266.423             266.5245            266.5378            266.7813            267.2569            839.6041           -77.24573 
 23.87              795.494             842.1437            265.1591            265.2104            265.3125            265.3262            265.5723            266.0553            840.4625           -46.64966 
 23.82              812.557             842.7494            263.8666            263.9182            264.0209            264.0349            264.2838            264.7743            841.0505           -30.19238 
 23.77              814.598             843.1171            262.5294            262.5812            262.6846            262.699             262.9506            263.4488            841.4              -28.51904 
 23.72              822.209             843.2809            261.184             261.2361            261.34              261.3548            261.6092            262.1152            841.5455           -21.07196 
 23.67              830.224             843.2253            259.8167            259.869             259.9737            259.9889            260.2461            260.7601            841.4711           -13.00134 
 23.62              782.817             842.9473            258.4266            258.4792            258.5845            258.6               258.8601            259.3824            841.174            -60.13025 
 23.57              764.966             842.5803            257.1485            257.2014            257.3073            257.3233            257.5863            258.117             840.7876           -77.61432 
 23.52              790.892             842.0513            255.9109            255.9641            256.0707            256.087             256.3531            256.8923            840.2389           -51.1593 
 23.47              713.649             841.2528            254.6071            254.6606            254.7678            254.7846            255.0536            255.6016            839.4203           -127.6038 
 23.42              786.242             840.4354            253.4884            253.5421            253.65              253.6672            253.9393            254.4963            838.5825           -54.19342 
 23.37              860.024             839.2339            252.19              252.244             252.3526            252.3702            252.6454            253.2116            837.3601            20.7901 
 23.32              801.537             837.6449            250.7086            250.7629            250.8721            250.8902            251.1686            251.7442            835.7499           -36.10791 
 23.27              803.846             835.9905            249.3662            249.4208            249.5307            249.5492            249.8309            250.416             834.074            -32.14447 
 23.22              829.9               834.1234            248.0149            248.0698            248.1804            248.1993            248.4843            249.0792            832.1849           -4.223389 
 23.17              781.665             831.9863            246.5967            246.6519            246.7632            246.7826            247.0709            247.6759            830.0255           -50.32135 
 23.12              808.94              829.7615            245.2927            245.3482            245.4602            245.4801            245.7717            246.3871            827.778            -20.82153 
 23.07              814.986             827.2665            243.9191            243.9748            244.0875            244.1079            244.403             245.0289            825.2596           -12.28046 
 23.02              783.637             824.5542            242.5273            242.5833            242.6968            242.7176            243.0163            243.6529            822.5238           -40.91718 
 22.97              800.38              821.718             241.2086            241.2649            241.3791            241.4004            241.7026            242.3503            819.6635           -21.33801 
 22.92              772.521             818.6429            239.8458            239.9024            240.0173            240.0391            240.345             241.004             816.5639           -46.12195 
 22.87              772.525             815.4401            238.5476            238.6046            238.7202            238.7425            239.0521            239.7227            813.336            -42.91504 
 22.82              782.657             812.0441            237.2462            237.3035            237.4198            237.4427            237.756             238.4385            809.9146           -29.38708 
 22.77              807.791             808.4335            235.917             235.9746            236.0917            236.1151            236.4322            237.1269            806.278            -.6424561 
 22.72              759.84              804.5746            234.5233            234.5811            234.699             234.7229            235.044             235.7511            802.3927           -44.73462 
 22.67              766.234             800.649             233.243             233.3012            233.4198            233.4443            233.7693            234.4892            798.4401           -34.41504 
 22.62              747.459             796.528             231.944             232.0025            232.1219            232.147             232.4761            233.2091            794.2916           -49.06903 
 22.57              788.824             792.2764            230.6877            230.7465            230.8667            230.8923            231.2255            231.9719            790.0119           -3.452454 
 22.52              747.135             787.752             229.3275            229.3866            229.5076            229.5338            229.8711            230.6313            785.4589           -40.617 
 22.47              762.173             783.1608            228.0655            228.125             228.2467            228.2735            228.6151            229.3895            780.8384           -20.98785 
 22.42              792.361             778.3693            226.7638            226.8236            226.9462            226.9736            227.3195            228.1084            776.017             13.99176 
 22.37              785.898             773.3447            225.3854            225.4455            225.5689            225.5969            225.9473            226.751             770.962             12.55334 
 22.32              803.882             768.1804            224.0193            224.0798            224.204             224.2326            224.5875            225.4065            765.7667            35.7016 
 22.27              773.213             762.8218            222.6061            222.667             222.792             222.8212            223.1806            224.0153            760.3764            10.39117 
 22.22              762.853             757.392             221.2642            221.3254            221.4512            221.4811            221.8452            222.696             754.9141            5.46106 
 22.17              778.643             751.8466            219.9443            220.0058            220.1325            220.1631            220.5319            221.3992            749.3356            26.79645 
 22.12              779.308             746.1266            218.5827            218.6445            218.7721            218.8033            219.177             220.0612            743.5819            33.1814 
 22.07              748.095             740.2737            217.2162            217.2784            217.4068            217.4387            217.8173            218.719             737.6945            7.821289 
 22.02              751.865             734.3707            215.9224            215.9849            216.1142            216.1468            216.5304            217.45              731.7562            17.49432 
 21.97              763.337             728.3374            214.6162            214.6791            214.8093            214.8426            215.2313            216.1693            725.6869            34.99957 
 21.92              762.961             722.1603            213.2789            213.3421            213.4732            213.5072            213.9011            214.858             719.473             40.80066 
 21.87              803.665             715.8734            211.9393            212.0029            212.1348            212.1696            212.5688            213.5452            713.1484            87.79156 
 21.82              773.077             709.3812            210.4971            210.5611            210.694             210.7295            211.1341            212.1305            706.6177            63.69586 
 21.77              829.204             702.8627            209.126             209.1904            209.3241            209.3604            209.7706            210.7875            700.0598            126.3413 
 21.72              727.867             696.1116            207.6149            207.6796            207.8143            207.8513            208.2671            209.3052            693.2684            31.75543 
 21.67              687.215             689.5167            206.347             206.412             206.5477            206.5855            207.007             208.0669            686.6324           -2.301697 
 21.62              716.271             682.9358            205.175             205.2405            205.377             205.4157            205.8431            206.9253            680.0093            33.33521 
 21.57              735.754             676.2039            203.9294            203.9953            204.1328            204.1723            204.6057            205.7109            673.2342            59.55011 
 21.52              724.578             669.3496            202.6333            202.6995            202.838             202.8783            203.3178            204.4468            666.3357            55.22839 
 21.47              794.722             662.4521            201.3613            201.4279            201.5673            201.6085            202.0542            203.2076            659.393             132.2698 
 21.42              788.251             655.3187            199.9152            199.9822            200.1226            200.1646            200.6166            201.7953            652.2133            132.9323 
 21.37              786.655             648.1405            198.4813            198.5487            198.6901            198.7331            199.1915            200.3961            644.9875            138.5145 
 21.32              764.038             640.91              197.0479            197.1156            197.2581            197.3019            197.767             198.9983            637.7084            123.128 
 21.27              751.601             633.6839            195.6661            195.7343            195.8777            195.9225            196.3943            197.6531            630.4325            117.9171 
 21.22              778.407             626.4417            194.3112            194.3797            194.5242            194.5699            195.0486            196.3359            623.1392            151.9653 
 21.17              765.078             619.093             192.8876            192.9566            193.1021            193.1488            193.6345            194.9511            615.7382            145.985 
 21.12              722.385             611.7399            191.4932            191.5626            191.7091            191.7567            192.2496            193.5964            608.3313            110.6451 
 21.07              754.31              604.4583            190.1993            190.2691            190.4167            190.4653            190.9655            192.3435            600.9945            149.8517 
 21.02              728.195             597.0714            188.8245            188.8948            189.0434            189.0931            189.6007            191.0109            593.5511            131.1236 
 20.97              709.42              589.7246            187.51              187.5807            187.7304            187.7811            188.2963            189.7398            586.1463            119.6954 
 20.92              682.981             582.4048            186.238             186.3091            186.46              186.5117            187.0347            188.5126            578.7669            100.5762 
 20.87              691.02              575.1349            185.0274            185.0989            185.2509            185.3037            185.8347            187.348             571.4358            115.8851 
 20.82              682.665             567.8348            183.7943            183.8662            184.0193            184.0732            184.6123            186.1622            564.0729            114.8302 
 20.77              625.034             560.549             182.5785            182.6508            182.805             182.8601            183.4075            184.9953            556.7225            64.48499 
 20.72              615.234             553.4011            181.5001            181.5729            181.7283            181.7845            182.3404            183.9674            549.5083            61.83289 
 20.67              647.943             546.2795            180.4431            180.5163            180.6728            180.7301            181.2947            182.9623            542.3185            101.6635 
 20.62              617.739             539.084             179.3037            179.3774            179.5351            179.5936            180.1671            181.8766            535.0527            78.65503 
 20.57              610.692             531.9713            178.2352            178.3094            178.4682            178.528             179.1105            180.8635            527.8679            78.7207 
 20.52              627.691             524.8892            177.1812            177.2559            177.4159            177.4769            178.0687            179.8667            520.7114            102.8018 
 20.47              632.213             517.7823            176.0833            176.1584            176.3196            176.3819            176.9831            178.8278            513.528             114.4307 
 20.42              622.189             510.6848            174.9716            175.0472            175.2097            175.2732            175.8842            177.7772            506.3516            111.5043 
 20.37              562.733             503.6352            173.8817            173.9577            174.1214            174.1863            174.8072            176.7504            499.2207            59.09781 
 20.32              577.051             496.7571            172.9341            173.0105            173.1755            173.2417            173.8727            175.868             492.2589            80.29391 
 20.27              570.236             489.8748            171.9492            172.0261            172.1923            172.2599            172.9014            174.9508            485.2901            80.36121 
 20.22              554.286             483.0423            170.9785            171.0559            171.2234            171.2924            171.9445            174.0502            478.3683            71.24371 
 20.17              504.642             476.2854            170.0443            170.1223            170.291             170.3614            171.0244            173.1888            471.5191            28.3566 
 20.12              518.543             469.689             169.2289            169.3073            169.4774            169.5492            170.2233            172.4488            464.8273            48.854 
 20.07              523.818             463.1013            168.3776            168.4565            168.6279            168.7012            169.3867            171.676             458.1407            60.71667 
 20.02              475.422             456.5463            167.5113            167.5907            167.7635            167.8383            168.5355            170.8914            451.4833            18.87567 
 19.97              508.619             450.1572            166.7609            166.8408            167.0149            167.0913            167.8005            170.2262            444.9879            58.46176 
 19.92              482.721             443.7384            165.9277            166.0082            166.1836            166.2616            166.9831            169.4819            438.4587            38.98257 
 19.87              497.999             437.4363            165.1557            165.2366            165.4135            165.4931            166.2271            168.8028            432.0416            60.56271 
 19.82              438.703             431.1528            164.3445            164.426             164.6042            164.6855            165.4324            168.089             425.6382            7.550171 
 19.77              442.837             425.0727            163.6759            163.7579            163.9375            164.0205            164.7805            167.5227            419.4329            17.76428 
 19.72              412.101             419.0437            162.9955            163.0781            163.2591            163.3438            164.1174            166.95              413.2728           -6.942688 
 19.67              422.217             413.1537            162.3884            162.4715            162.654             162.7405            163.5279            166.4567            407.2452            9.063263 
 19.62              408.039             407.3056            161.7552            161.8388            162.0228            162.1111            162.9127            165.9439            401.2523            .733429 
 19.57              374.25              401.5608            161.155             161.2392            161.4246            161.5147            162.3309            165.4716            395.3546           -27.31079 
 19.52              388.019             395.9701            160.6356            160.7204            160.9073            160.9993            161.8305            165.0887            389.6021           -7.95105 
 19.47              401.421             390.42              160.0815            160.1668            160.3552            160.4491            161.2957            164.6805            383.88              11.00101 
 19.42              386.054             384.9143            159.4933            159.5791            159.7692            159.865             160.7273            164.2491            378.191             1.139679 
 19.37              390.3               379.5257            158.9411            159.0276            159.2191            159.317             160.1955            163.8661            372.6061            10.77429 
 19.32              376.603             374.2092            158.3773            158.4643            158.6574            158.7573            159.6524            163.4854            367.0787            2.393829 
