B.E.(eV)           Raw Intensity       Peak Sum            Background          Peak 1              Peak 2              Peak 3              Peak 4              Peak 5              Peak 6              difference
 41.02              387.011             390.8696            387.011             387.03              387.0521            387.0466            387.0723            387.0933            390.6302           -3.858612 
 40.97              390.924             390.89              387.011             387.03              387.0522            387.0467            387.0725            387.0937            390.6498            3.399658E-02 
 40.92              398.139             390.8997            387.0001            387.0192            387.0414            387.0359            387.0619            387.0831            390.6587            7.239319 
 40.87              397.147             390.8894            386.9691            386.9882            387.0105            387.005             387.0311            387.0524            390.6476            6.257568 
 40.82              394.506             390.882             386.9408            386.96              386.9823            386.9768            387.003             387.0244            390.6394            3.623962 
 40.77              426.659             390.8821            386.9197            386.939             386.9614            386.9559            386.9822            387.0037            390.6385            35.77689 
 40.72              377.959             390.7928            386.8092            386.8285            386.851             386.8455            386.8719            386.8935            390.5484           -12.8338 
 40.67              391.08              390.8389            386.8338            386.8531            386.8757            386.8702            386.8967            386.9185            390.5936            .2410889 
 40.62              416.158             390.8486            386.822             386.8414            386.864             386.8585            386.8851            386.907             390.6025            25.30939 
 40.57              399.716             390.7888            386.7404            386.7598            386.7825            386.777             386.8037            386.8257            390.5418            8.927216 
 40.52              377.623             390.7746            386.7043            386.7238            386.7466            386.741             386.7679            386.79              390.5268           -13.15164 
 40.47              415.262             390.822             386.7295            386.7491            386.7719            386.7664            386.7934            386.8156            390.5733            24.43997 
 40.42              406.835             390.765             386.6501            386.6698            386.6927            386.6871            386.7142            386.7366            390.5153            16.07001 
 40.37              384.43              390.7313            386.594             386.6136            386.6366            386.6311            386.6583            386.6807            390.4807           -6.3013 
 40.32              361.309             390.76              386.6               386.6197            386.6428            386.6372            386.6646            386.6871            390.5086           -29.45102 
 40.27              369.616             390.8533            386.6704            386.6902            386.7133            386.7078            386.7352            386.7579            390.6009           -21.2373 
 40.22              376.595             390.9238            386.7178            386.7376            386.7609            386.7553            386.7828            386.8057            390.6705           -14.32877 
 40.17              423.125             390.9752            386.746             386.7659            386.7892            386.7836            386.8112            386.8342            390.721             32.14981 
 40.12              408.912             390.8974            386.6448            386.6647            386.6881            386.6825            386.7103            386.7333            390.6423            18.01459 
 40.07              407.411             390.8591            386.5828            386.6028            386.6263            386.6207            386.6486            386.6718            390.6031            16.55191 
 40.02              372.465             390.825             386.5249            386.545             386.5685            386.5629            386.5909            386.6142            390.5681           -18.36002 
 39.97              396.15              390.8881            386.564             386.5841            386.6077            386.6021            386.6303            386.6537            390.6302            5.261871 
 39.92              395.046             390.8857            386.5373            386.5575            386.5811            386.5756            386.6038            386.6274            390.6269            4.160309 
 39.87              354.894             390.8864            386.5137            386.5339            386.5576            386.5521            386.5804            386.6041            390.6267           -35.99243 
 39.82              360.792             390.9991            386.6016            386.6219            386.6457            386.6401            386.6686            386.6924            390.7383           -30.20709 
 39.77              357.991             391.0957            386.6734            386.6938            386.7177            386.7121            386.7407            386.7646            390.834            -33.10471 
 39.72              339.388             391.2006            386.7532            386.7736            386.7976            386.792             386.8208            386.8448            390.9379           -51.81256 
 39.67              419.02              391.3576            386.885             386.9055            386.9295            386.9239            386.9528            386.977             391.094             27.66235 
 39.62              403.954             391.2936            386.7956            386.8161            386.8402            386.8346            386.8636            386.8879            391.0291            12.66037 
 39.57              352.225             391.2716            386.7479            386.7684            386.7926            386.787             386.8162            386.8406            391.0061           -39.04663 
 39.52              375.926             391.3936            386.8439            386.8645            386.8888            386.8832            386.9124            386.937             391.1271           -15.46759 
 39.47              399.932             391.4501            386.8743            386.895             386.9193            386.9137            386.9431            386.9678            391.1826            8.481903 
 39.42              384.53              391.4402            386.838             386.8587            386.8831            386.8775            386.907             386.9319            391.1717           -6.910217 
 39.37              367.167             391.4731            386.8444            386.8652            386.8896            386.8841            386.9137            386.9387            391.2037           -24.30615 
 39.32              376.106             391.5548            386.8991            386.92              386.9445            386.939             386.9687            386.9939            391.2843           -15.44882 
 39.27              362.845             391.6118            386.9291            386.95              386.9747            386.9691            386.999             387.0243            391.3403           -28.76682 
 39.22              344.314             391.7061            386.9961            387.0171            387.0418            387.0363            387.0663            387.0917            391.4336           -47.39215 
 39.17              361.797             391.8524            387.1149            387.1359            387.1607            387.1551            387.1853            387.2108            391.5789           -30.05542 
 39.12              395.118             391.9507            387.1853            387.2064            387.2313            387.2257            387.256             387.2817            391.6761            3.167358 
 39.07              366.891             391.9566            387.1633            387.1844            387.2094            387.2038            387.2343            387.2601            391.681            -25.06564 
 39.02              386.823             392.0413            387.2197            387.2409            387.2659            387.2603            387.2909            387.3169            391.7646           -5.218292 
 38.97              379.04              392.071             387.2208            387.2421            387.2672            387.2616            387.2923            387.3184            391.7932           -13.03094 
