B.E.(eV)           Raw Intensity       Peak Sum            Background          Peak 1              Peak 2              Peak 3              Peak 4              Peak 5              Peak 6              difference
 38.92              364.898             392.1224            387.2435            387.2649            387.2901            387.2845            387.3153            387.3416            391.8437           -27.22443 
 38.87              384.546             392.2136            387.3057            387.3271            387.3524            387.3468            387.3778            387.4042            391.9338           -7.667633 
 38.82              362.577             392.2506            387.3134            387.3349            387.3602            387.3546            387.3857            387.4123            391.9697           -29.67361 
 38.77              397.723             392.349             387.3822            387.4037            387.4292            387.4236            387.4549            387.4816            392.067             5.374023 
 38.72              381.805             392.35              387.3534            387.375             387.4005            387.395             387.4264            387.4532            392.067            -10.54498 
 38.67              345.89              392.3955            387.3689            387.3905            387.4161            387.4106            387.4421            387.4691            392.1114           -46.50552 
 38.62              397.735             392.5413            387.4843            387.506             387.5317            387.5261            387.5578            387.5849            392.2561            5.193726 
 38.57              406.755             392.5434            387.4557            387.4775            387.5033            387.4977            387.5295            387.5569            392.2571            14.21164 
 38.52              400.944             392.5206            387.402             387.4239            387.4497            387.4442            387.4761            387.5036            392.2332            8.423431 
 38.47              389.768             392.5141            387.3643            387.3863            387.4122            387.4066            387.4388            387.4664            392.2256           -2.746063 
 38.42              343.902             392.5388            387.3577            387.3796            387.4057            387.4001            387.4324            387.4601            392.2492           -48.63684 
 38.37              362.753             392.6915            387.4786            387.5006            387.5267            387.5211            387.5536            387.5815            392.4008           -29.93848 
 38.32              346.983             392.7923            387.5474            387.5695            387.5957            387.5901            387.6227            387.6508            392.5005           -45.8093 
 38.27              327.171             392.9375            387.6602            387.6824            387.7087            387.7031            387.7358            387.7641            392.6446           -65.76654 
 38.22              365.85              393.1385            387.8285            387.8507            387.8771            387.8715            387.9044            387.9328            392.8443           -27.28845 
 38.17              376.635             393.2325            387.8896            387.912             387.9384            387.9328            387.9659            387.9944            392.9373           -16.59753 
 38.12              401.405             393.2971            387.9209            387.9433            387.9698            387.9643            387.9974            388.0262            393.0007            8.10788 
 38.07              357.151             393.2932            387.8834            387.9059            387.9325            387.9269            387.9602            387.9892            392.9956           -36.14215 
 38.02              386.283             393.4125            387.9689            387.9914            388.0182            388.0126            388.0461            388.0752            393.1138           -7.129517 
 37.97              370.992             393.4514            387.9736            387.9962            388.023             388.0175            388.0511            388.0804            393.1515           -22.45941 
 37.92              345.422             393.5332            388.0209            388.0435            388.0704            388.0648            388.0986            388.1281            393.2321           -48.11121 
 37.87              350.848             393.6865            388.1394            388.1621            388.1891            388.1835            388.2174            388.2471            393.3842           -42.8385 
 37.82              361.933             393.8255            388.2431            388.2659            388.293             388.2874            388.3215            388.3513            393.522            -31.89246 
 37.77              385.838             393.9341            388.3163            388.3391            388.3663            388.3608            388.395             388.425             393.6295           -8.0961 
 37.72              376.343             393.9769            388.3232            388.3461            388.3734            388.3678            388.4023            388.4324            393.671            -17.63391 
 37.67              370.636             394.0465            388.3566            388.3795            388.4069            388.4014            388.4359            388.4662            393.7393           -23.41049 
 37.62              358.547             394.1323            388.4059            388.4289            388.4563            388.4508            388.4855            388.5161            393.8239           -35.58527 
 37.57              399.108             394.2522            388.489             388.5121            388.5396            388.5341            388.569             388.5997            393.9427            4.855774 
 37.52              358.295             394.2599            388.4594            388.4826            388.5102            388.5047            388.5398            388.5706            393.9491           -35.96494 
 37.47              348.964             394.3815            388.5433            388.5666            388.5943            388.5888            388.624             388.6551            394.0694           -45.41748 
 37.42              383.609             394.5296            388.6534            388.6768            388.7046            388.6991            388.7345            388.7657            394.2162           -10.92059 
 37.37              351.769             394.582             388.6675            388.6909            388.7188            388.7133            388.7488            388.7803            394.2674           -42.81296 
 37.32              364.542             394.7234            388.7701            388.7936            388.8216            388.8161            388.8518            388.8835            394.4075           -30.18137 
 37.27              387.319             394.8298            388.8375            388.8611            388.8892            388.8836            388.9196            388.9514            394.5127           -7.510834 
 37.22              408.776             394.8735            388.8417            388.8653            388.8935            388.888             388.9241            388.9561            394.5551            13.90247 
 37.17              380.768             394.8581            388.7863            388.81              388.8383            388.8328            388.869             388.9012            394.5383           -14.09006 
 37.12              360.56              394.9206            388.8086            388.8323            388.8607            388.8552            388.8917            388.924             394.5995           -34.36057 
 37.07              351.024             395.0399            388.8872            388.911             388.9395            388.934             388.9706            389.0032            394.7175           -44.0159 
 37.02              363.229             395.1863            388.9925            389.0164            389.045             389.0395            389.0763            389.1091            394.8626           -31.95731 
 36.97              347.739             395.2995            389.0642            389.0882            389.1169            389.1114            389.1483            389.1813            394.9745           -47.56052 
 36.92              347.047             395.4564            389.1792            389.2032            389.232             389.2265            389.2636            389.2968            395.1301           -48.40942 
 36.87              340.376             395.616             389.2964            389.3205            389.3494            389.3439            389.3812            389.4146            395.2883           -55.23999 
 36.82              372.845             395.7949            389.4325            389.4566            389.4856            389.4802            389.5177            389.5513            395.4659           -22.94989 
 36.77              385.858             395.8843            389.4786            389.5029            389.5319            389.5265            389.5642            389.598             395.5539           -10.02631 
 36.72              387.967             395.9381            389.4887            389.513             389.5422            389.5368            389.5746            389.6087            395.6063           -7.971069 
 36.67              390.688             395.9865            389.493             389.5174            389.5466            389.5412            389.5793            389.6135            395.6533           -5.298523 
 36.62              406.218             396.0278            389.4896            389.5141            389.5435            389.5381            389.5763            389.6107            395.6932            10.19022 
 36.57              421.373             396.0263            389.4431            389.4677            389.4971            389.4917            389.5301            389.5648            395.6903            25.34668 
 36.52              376.615             395.983             389.3542            389.3789            389.4084            389.403             389.4417            389.4765            395.6457           -19.36801 
 36.47              399.504             396.0645            389.3897            389.4144            389.4441            389.4387            389.4775            389.5126            395.7257            3.439514 
 36.42              406.579             396.0829            389.3615            389.3863            389.4161            389.4107            389.4497            389.485             395.7427            10.49615 
 36.37              368.119             396.082             389.3136            389.3385            389.3684            389.363             389.4022            389.4377            395.7404           -27.96304 
 36.32              338.435             396.1885            389.3726            389.3975            389.4275            389.4221            389.4615            389.4973            395.8454           -57.75348 
 36.27              373.089             396.3783            389.5143            389.5393            389.5694            389.564             389.6036            389.6396            396.0338           -23.28931 
 36.22              379.352             396.4726            389.56              389.5851            389.6153            389.6099            389.6497            389.6859            396.1266           -17.12057 
 36.17              383.165             396.55              389.5884            389.6136            389.6439            389.6385            389.6785            389.7149            396.2026           -13.38504 
 36.12              356.21              396.6176            389.6063            389.6315            389.6619            389.6566            389.6968            389.7335            396.2687           -40.40759 
 36.07              345.474             396.7607            389.6992            389.7245            389.755             389.7497            389.7901            389.827             396.4103           -51.28674 
 36.02              335.75              396.9346            389.8222            389.8476            389.8782            389.8729            389.9135            389.9507            396.5826           -61.18457 
 35.97              346.186             397.1364            389.9727            389.9981            390.0289            390.0236            390.0644            390.1018            396.783            -50.95041 
 35.92              343.325             397.3102            390.0945            390.12              390.1509            390.1455            390.1866            390.2242            396.9552           -53.98514 
 35.87              370.292             397.4928            390.2246            390.2502            390.2812            390.2759            390.3171            390.355             397.1363           -27.20081 
 35.82              384.09              397.6014            390.28              390.3058            390.3368            390.3315            390.373             390.4111            397.2434           -13.51141 
 35.77              358.175             397.6724            390.2972            390.3231            390.3542            390.3489            390.3906            390.429             397.3128           -39.49744 
 35.72              372.181             397.8162            390.3866            390.4125            390.4438            390.4385            390.4804            390.519             397.455            -25.63519 
 35.67              382.169             397.9218            390.4372            390.4632            390.4946            390.4893            390.5314            390.5703            397.5592           -15.75284 
 35.62              352.757             398.0006            390.4603            390.4863            390.5179            390.5126            390.5549            390.594             397.6364           -45.24365 
 35.57              357.455             398.162             390.5652            390.5913            390.6229            390.6177            390.6602            390.6996            397.7961           -40.70697 
 35.52              387.223             398.3111            390.6573            390.6835            390.7152            390.71              390.7527            390.7924            397.9436           -11.08813 
 35.47              382.741             398.3784            390.6668            390.6931            390.725             390.7197            390.7627            390.8026            398.0094           -15.63745 
 35.42              410.3               398.459             390.6889            390.7153            390.7473            390.742             390.7852            390.8254            398.0883            11.84094 
 35.37              389.736             398.4637            390.6343            390.6608            390.6929            390.6877            390.7311            390.7715            398.0914           -8.727753 
 35.32              406.735             398.5262            390.6368            390.6634            390.6956            390.6904            390.734             390.7747            398.1523            8.20874 
 35.27              382.909             398.5423            390.592             390.6187            390.651             390.6458            390.6897            390.7307            398.1666           -15.6333 
 35.22              379.572             398.6252            390.6134            390.6402            390.6726            390.6674            390.7115            390.7528            398.2479           -19.05322 
 35.17              373.205             398.7184            390.6442            390.671             390.7036            390.6984            390.7427            390.7842            398.3394           -25.5134 
 35.12              345.258             398.8302            390.6927            390.7196            390.7523            390.7471            390.7917            390.8335            398.4494           -53.57217 
 35.07              415.25              399.0206            390.8191            390.846             390.8788            390.8737            390.9185            390.9606            398.6382            16.22943 
 35.02              358.055             399.0176            390.7511            390.7782            390.8111            390.806             390.851             390.8934            398.6334           -40.96259 
 34.97              353.337             399.1743            390.842             390.8692            390.9023            390.8971            390.9424            390.9851            398.7885           -45.83734 
 34.92              387.131             399.3455            390.9464            390.9736            391.0068            391.0017            391.0472            391.0902            398.9579           -12.21451 
 34.87              390.792             399.4239            390.957             390.9843            391.0176            391.0125            391.0583            391.1016            399.0345           -8.631866 
 34.82              355.298             399.493             390.9575            390.9849            391.0183            391.0132            391.0592            391.1028            399.1019           -44.19504 
 34.77              361.521             399.6619            391.0566            391.0842            391.1177            391.1126            391.1589            391.2027            399.269            -38.14093 
 34.72              377.215             399.8148            391.1388            391.1664            391.2001            391.195             391.2415            391.2857            399.4201           -22.59985 
 34.67              356.403             399.9254            391.1776            391.2053            391.239             391.234             391.2808            391.3252            399.5289           -43.5224 
 34.62              375.366             400.0951            391.2743            391.3021            391.336             391.331             391.378             391.4227            399.6967           -24.72906 
 34.57              342.769             400.2134            391.3185            391.3464            391.3805            391.3755            391.4227            391.4678            399.8132           -57.4444 
 34.52              383.365             400.4237            391.4536            391.4816            391.5157            391.5107            391.5583            391.6036            400.0217           -17.05869 
 34.47              380.024             400.5226            391.4761            391.5042            391.5385            391.5334            391.5812            391.6269            400.1187           -20.49857 
 34.42              354.594             400.6321            391.508             391.5361            391.5706            391.5656            391.6136            391.6596            400.2264           -46.03815 
 34.37              366.895             400.8138            391.6107            391.6389            391.6735            391.6685            391.7168            391.7632            400.4062           -33.91882 
 34.32              332.081             400.9628            391.6794            391.7078            391.7424            391.7375            391.7861            391.8327            400.5534           -68.88184 
 34.27              385.742             401.2104            391.8452            391.8737            391.9085            391.9036            391.9524            391.9994            400.799            -15.46835 
 34.22              347.131             401.3105            391.8622            391.8907            391.9257            391.9208            391.9699            392.0172            400.8971           -54.17944 
 34.17              411.593             401.5195            391.9866            392.0153            392.0504            392.0455            392.0948            392.1425            401.1042            10.07352 
 34.12              387.111             401.551             391.9321            391.9608            391.996             391.9911            392.0408            392.0888            401.1338           -14.44 
 34.07              397.971             401.6521            391.9455            391.9743            392.0097            392.0048            392.0547            392.1031            401.2329           -3.681122 
 34.02              359.016             401.7247            391.9287            391.9577            391.9931            391.9883            392.0385            392.0872            401.3035           -42.70868 
 33.97              353.229             401.9073            392.0203            392.0493            392.0849            392.0801            392.1306            392.1796            401.4841           -48.67825 
 33.92              400.592             402.108             392.1282            392.1573            392.1931            392.1883            392.239             392.2885            401.6828           -1.515961 
 33.87              394.326             402.179             392.1046            392.1339            392.1697            392.165             392.216             392.2658            401.7519           -7.853058 
 33.82              364.15              402.2694            392.0985            392.1278            392.1638            392.1591            392.2104            392.2605            401.8402           -38.11942 
 33.77              402.745             402.4457            392.1762            392.2057            392.2418            392.2371            392.2887            392.3392            402.0144            .2992859 
 33.72              370.132             402.5168            392.1469            392.1764            392.2127            392.2079            392.2599            392.3107            402.0835           -32.38486 
 33.67              370.828             402.6808            392.2081            392.2377            392.2741            392.2694            392.3217            392.3729            402.2454           -31.85278 
 33.62              364.618             402.8452            392.2675            392.2973            392.3338            392.3292            392.3817            392.4333            402.4077           -38.22717 
 33.57              324.394             403.0293            392.3445            392.3743            392.411             392.4063            392.4592            392.5111            402.5897           -78.63531 
 33.52              348.567             403.328             392.5335            392.5634            392.6003            392.5957            392.6488            392.7011            402.8863           -54.76099 
 33.47              368.083             403.5625            392.6558            392.6858            392.7228            392.7182            392.7716            392.8244            403.1186           -35.47946 
 33.42              350.808             403.7455            392.7242            392.7543            392.7914            392.7868            392.8406            392.8937            403.2995           -52.9375 
 33.37              367.227             403.9796            392.8408            392.871             392.9083            392.9037            392.9578            393.0113            403.5314           -36.75259 
 33.32              360.708             404.1711            392.912             392.9424            392.9798            392.9753            393.0296            393.0835            403.7207           -43.46313 
 33.27              355.294             404.384             393.0016            393.032             393.0696            393.0651            393.1198            393.1741            403.9314           -49.08997 
 33.22              338.683             404.6152            393.1065            393.1371            393.1748            393.1703            393.2253            393.28              404.1603           -65.93219 
 33.17              402.949             404.8961            393.2579            393.2886            393.3264            393.322             393.3773            393.4324            404.439            -1.947113 
 33.12              366.05              405.002             393.231             393.2617            393.2998            393.2953            393.351             393.4065            404.5427           -38.95203 
 33.07              394.234             405.214             393.3066            393.3374            393.3756            393.3712            393.4272            393.4831            404.7523           -10.97995 
 33.02              370.272             405.3513            393.304             393.335             393.3733            393.3689            393.4252            393.4816            404.8874           -35.07928 
 32.97              332.537             405.5591            393.3681            393.3991            393.4376            393.4333            393.4899            393.5467            405.0929           -73.02216 
 32.92              369.7               405.8761            393.5373            393.5685            393.6071            393.6028            393.6597            393.7169            405.4075           -36.17606 
 32.87              375.63              406.0941            393.6036            393.6349            393.6737            393.6694            393.7267            393.7843            405.6233           -30.46414 
 32.82              333.169             406.3003            393.6536            393.685             393.7239            393.7197            393.7773            393.8354            405.827            -73.13126 
 32.77              319.132             406.6292            393.8219            393.8534            393.8925            393.8883            393.9462            394.0048            406.1535           -87.49719 
 32.72              372.845             407.0022            394.0297            394.0613            394.1005            394.0963            394.1546            394.2136            406.5241           -34.15717 
 32.67              335.298             407.2313            394.0886            394.1203            394.1597            394.1555            394.2142            394.2737            406.7508           -71.93326 
 32.62              382.897             407.5701            394.2521            394.284             394.3235            394.3194            394.3784            394.4383            407.0872           -24.6731 
 32.57              383.886             407.7823            394.2837            394.3157            394.3554            394.3513            394.4106            394.471             407.2968           -23.8963 
 32.52              380.136             407.9973            394.3127            394.3447            394.3846            394.3806            394.4402            394.5011            407.5095           -27.86136 
 32.47              396.17              408.2287            394.3521            394.3843            394.4243            394.4203            394.4803            394.5417            407.7383           -12.05869 
 32.42              379.4               408.4216            394.3471            394.3794            394.4196            394.4156            394.476             394.5378            407.9287           -29.02164 
 32.37              391.176             408.6675            394.3887            394.4211            394.4615            394.4575            394.5182            394.5806            408.1721           -17.49152 
 32.32              425.358             408.8872            394.3976            394.4301            394.4706            394.4667            394.5279            394.5906            408.3893            16.47076 
 32.27              385.686             409.0188            394.3115            394.3441            394.3848            394.3809            394.4424            394.5057            408.5182           -23.33279 
 32.22              361.945             409.2677            394.3354            394.3682            394.4091            394.4052            394.4671            394.5309            408.7645           -47.32269 
 32.17              369.54              409.5902            394.4256            394.4584            394.4995            394.4956            394.5579            394.6222            409.0844           -40.05017 
 32.12              417.055             409.8996            394.4948            394.5278            394.569             394.5652            394.6279            394.6927            409.3911            7.155426 
 32.07              387.951             410.085             394.432             394.4651            394.5065            394.5027            394.5658            394.6311            409.5739           -22.13403 
 32.02              389.644             410.3597            394.4501            394.4833            394.5248            394.5211            394.5846            394.6504            409.8459           -20.71573 
 31.97              373.966             410.6386            394.4634            394.4968            394.5385            394.5348            394.5986            394.665             410.1221           -36.67261 
 31.92              377.339             410.9704            394.5205            394.5539            394.5958            394.5921            394.6564            394.7233            410.4512           -33.63141 
 31.87              395.81              411.3026            394.5683            394.6018            394.6439            394.6403            394.7049            394.7724            410.7805           -15.49255 
 31.82              394.642             411.5934            394.5648            394.5985            394.6407            394.6371            394.7022            394.7702            411.0686           -16.95139 
 31.77              398.279             411.8979            394.5646            394.5984            394.6408            394.6373            394.7028            394.7713            411.3703           -13.6189 
 31.72              386.523             412.2031            394.5543            394.5882            394.6308            394.6273            394.6931            394.7623            411.6727           -25.68008 
 31.67              369.328             412.5523            394.5766            394.6107            394.6534            394.6499            394.7162            394.7859            412.019            -43.22427 
 31.62              413.661             412.9611            394.6469            394.681             394.724             394.7205            394.7873            394.8575            412.425             .6999207 
 31.57              343.137             413.259             394.5939            394.6282            394.6714            394.668             394.7351            394.806             412.72             -70.12201 
 31.52              382.233             413.7657            394.7371            394.7715            394.8148            394.8115            394.8791            394.9505            413.2238           -31.53268 
 31.47              366.975             414.1772            394.7719            394.8064            394.8499            394.8466            394.9146            394.9866            413.6323           -47.20218 
 31.42              366.511             414.645             394.8492            394.8839            394.9276            394.9243            394.9927            395.0653            414.0972           -48.13403 
 31.37              425.582             415.1287            394.928             394.9629            395.0067            395.0035            395.0724            395.1456            414.5779            10.45331 
 31.32              385.422             415.4631            394.8427            394.8777            394.9218            394.9185            394.9879            395.0617            414.9092           -30.04108 
 31.27              390.404             415.9244            394.869             394.904             394.9483            394.9451            395.0149            395.0894            415.3676           -25.52042 
 31.22              393.005             416.3881            394.8814            394.9166            394.961             394.9579            395.0281            395.1032            415.8281           -23.38306 
 31.17              393.513             416.8611            394.8866            394.9219            394.9666            394.9635            395.0341            395.1099            416.2981           -23.34811 
 31.12              386.483             417.3501            394.8904            394.9259            394.9707            394.9677            395.0388            395.1152            416.7839           -30.86707 
 31.07              381.777             417.8766            394.9138            394.9494            394.9944            394.9914            395.063             395.1401            417.3073           -36.09964 
 31.02              380.476             418.435             394.9503            394.9861            395.0313            395.0284            395.1004            395.1781            417.8625           -37.95898 
 30.97              373.245             419.0163            394.9906            395.0265            395.0719            395.069             395.1415            395.2199            418.4407           -45.77133 
 30.92              373.886             419.638             395.0511            395.0871            395.1327            395.1299            395.2029            395.2819            419.0591           -45.75198 
 30.87              389.66              420.2788            395.11              395.1461            395.1919            395.1891            395.2626            395.3423            419.6966           -30.61877 
 30.82              397.435             420.8974            395.1252            395.1614            395.2074            395.2047            395.2787            395.3591            420.312            -23.46243 
 30.77              383.874             421.5167            395.1187            395.1551            395.2013            395.1986            395.2731            395.3542            420.9279           -37.64273 
 30.72              401.052             422.1969            395.15              395.1866            395.2329            395.2303            395.3053            395.3871            421.6048           -21.1449 
 30.67              405.238             422.8532            395.1336            395.1703            395.2168            395.2143            395.2897            395.3723            422.2577           -17.6152 
 30.62              417.343             423.5226            395.1055            395.1423            395.1891            395.1866            395.2625            395.3458            422.9237           -6.179657 
 30.57              420.368             424.1838            395.0436            395.0806            395.1276            395.1251            395.2016            395.2856            423.5815           -3.815826 
 30.52              443.806             424.8629            394.9731            395.0103            395.0574            395.055             395.132             395.2168            424.2571            18.94308 
 30.47              427.571             425.5039            394.8373            394.8745            394.9219            394.9196            394.9971            395.0826            424.8947            2.067078 
 30.42              439.416             426.218             394.7462            394.7836            394.8312            394.8289            394.907             394.9933            425.6052            13.19797 
 30.37              425.67              426.928             394.622             394.6595            394.7073            394.7051            394.7837            394.8707            426.3116           -1.258026 
