B.E.(eV)           Raw Intensity       Peak Sum            Background          Peak 1              Peak 2              Peak 3              difference
 321.02             3058.13             3061.865            3058.13             3058.13             3061.568            3058.427           -3.735107 
 320.97             3185.77             3061.876            3058.13             3058.13             3061.578            3058.428            123.8936 
 320.92             3173.33             3062.01             3058.252            3058.252            3061.711            3058.552            111.3196 
 320.87             3019.57             3062.136            3058.365            3058.365            3061.835            3058.666           -42.56567 
 320.82             2801.26             3062.116            3058.334            3058.334            3061.815            3058.636           -260.8564 
 320.77             2840.88             3061.887            3058.093            3058.093            3061.584            3058.396           -221.0076 
 320.72             2998.31             3061.69             3057.884            3057.884            3061.386            3058.188           -63.38013 
 320.67             3088.58             3061.638            3057.82             3057.82             3061.333            3058.125            26.94165 
 320.62             3037.81             3061.672            3057.842            3057.842            3061.365            3058.148           -23.86182 
 320.57             3090.9              3061.657            3057.815            3057.815            3061.35             3058.122            29.24268 
 320.52             2961.24             3061.693            3057.839            3057.839            3061.385            3058.147           -100.4534 
 320.47             3015.75             3061.606            3057.739            3057.739            3061.296            3058.049           -45.85571 
 320.42             2961.21             3061.568            3057.689            3057.689            3061.257            3058               -100.3582 
 320.37             3114.44             3061.477            3057.586            3057.586            3061.165            3057.898            52.96265 
 320.32             3109.75             3061.531            3057.627            3057.627            3061.218            3057.94             48.21899 
 320.27             2928.05             3061.581            3057.665            3057.665            3061.267            3057.979           -133.5313 
 320.22             3065.19             3061.459            3057.53             3057.53             3061.144            3057.846            3.730469 
 320.17             3103.31             3061.466            3057.524            3057.524            3061.149            3057.841            41.84448 
 320.12             3127.9              3061.508            3057.553            3057.553            3061.19             3057.872            66.39185 
 320.07             3052.38             3061.575            3057.608            3057.608            3061.256            3057.927           -9.195313 
 320.02             2999.3              3061.572            3057.592            3057.592            3061.251            3057.912           -62.27197 
 319.97             2886.21             3061.517            3057.524            3057.524            3061.196            3057.846           -175.3074 
 319.92             3034.83             3061.354            3057.348            3057.348            3061.031            3057.671           -26.52344 
 319.87             3260.07             3061.328            3057.309            3057.309            3061.003            3057.633            198.7424 
 319.82             3062.48             3061.517            3057.485            3057.485            3061.191            3057.81             .9631348 
 319.77             3132.26             3061.522            3057.477            3057.477            3061.195            3057.803            70.73828 
 319.72             3090.03             3061.594            3057.535            3057.535            3061.266            3057.863            28.43652 
 319.67             3025.18             3061.626            3057.555            3057.555            3061.297            3057.884           -36.44653 
 319.62             3147.43             3061.598            3057.513            3057.513            3061.268            3057.844            85.83154 
 319.57             3021.6              3061.687            3057.588            3057.588            3061.355            3057.92            -40.08667 
 319.52             2885.17             3061.656            3057.545            3057.545            3061.323            3057.878           -176.4866 
 319.47             2940.84             3061.495            3057.369            3057.369            3061.16             3057.704           -120.6545 
 319.42             2953.82             3061.382            3057.243            3057.243            3061.046            3057.579           -107.562 
 319.37             2997.79             3061.279            3057.127            3057.127            3060.942            3057.464           -63.48926 
 319.32             3097.32             3061.216            3057.05             3057.05             3060.877            3057.388            36.10425 
 319.27             3187.07             3061.247            3057.066            3057.066            3060.907            3057.406            125.8235 
 319.22             3246.33             3061.364            3057.17             3057.17             3061.023            3057.511            184.9661 
 319.17             3095                3061.541            3057.333            3057.333            3061.199            3057.676            33.45898 
 319.12             3122.39             3061.578            3057.356            3057.356            3061.234            3057.7              60.81201 
 319.07             3139.23             3061.641            3057.406            3057.406            3061.296            3057.75             77.58862 
 319.02             3049.67             3061.723            3057.473            3057.473            3061.377            3057.819           -12.05322 
 318.97             3267.79             3061.721            3057.457            3057.457            3061.373            3057.804            206.0691 
 318.92             3010.65             3061.927            3057.649            3057.649            3061.578            3057.998           -51.27734 
 318.87             2971.91             3061.893            3057.6              3057.6              3061.542            3057.95            -89.98267 
 318.82             3016.43             3061.82             3057.512            3057.512            3061.468            3057.864           -45.38989 
 318.77             2989.56             3061.787            3057.465            3057.465            3061.434            3057.819           -72.22705 
 318.72             3078.88             3061.728            3057.392            3057.392            3061.373            3057.746            17.15186 
 318.67             3141.94             3061.753            3057.402            3057.402            3061.397            3057.758            80.18701 
 318.62             3067.6              3061.839            3057.473            3057.473            3061.481            3057.831            5.76123 
 318.57             2865.76             3061.856            3057.475            3057.475            3061.497            3057.834           -196.0957 
 318.52             3046.73             3061.679            3057.283            3057.283            3061.319            3057.644           -14.94922 
 318.47             3145.79             3061.672            3057.261            3057.261            3061.31             3057.623            84.11841 
 318.42             3039.34             3061.759            3057.333            3057.333            3061.395            3057.697           -22.4187 
 318.37             2951.4              3061.746            3057.305            3057.305            3061.381            3057.67            -110.3462 
 318.32             3211.85             3061.649            3057.193            3057.193            3061.282            3057.559            150.2014 
 318.27             3271.14             3061.798            3057.327            3057.327            3061.43             3057.695            209.3418 
 318.22             3274.91             3062.008            3057.521            3057.521            3061.638            3057.891            212.9021 
 318.17             3259.44             3062.227            3057.725            3057.725            3061.856            3058.096            197.2131 
 318.12             3083.91             3062.436            3057.918            3057.918            3062.063            3058.291            21.47388 
 318.07             3098.89             3062.482            3057.949            3057.949            3062.108            3058.323            36.4082 
 318.02             3023.3              3062.543            3057.994            3057.994            3062.167            3058.37            -39.24268 
 317.97             3175.7              3062.532            3057.968            3057.968            3062.155            3058.345            113.1677 
 317.92             3140.24             3062.667            3058.087            3058.087            3062.289            3058.466            77.57251 
 317.87             3165.17             3062.771            3058.175            3058.175            3062.391            3058.555            102.3987 
 317.82             3010.38             3062.901            3058.289            3058.289            3062.519            3058.671           -52.521 
 317.77             2978.71             3062.885            3058.257            3058.257            3062.502            3058.641           -84.17554 
 317.72             3048.92             3062.838            3058.194            3058.194            3062.453            3058.579           -13.91821 
 317.67             3060.1              3062.857            3058.196            3058.196            3062.47             3058.583           -2.756836 
 317.62             3165.2              3062.886            3058.209            3058.209            3062.498            3058.598            102.3135 
 317.57             3073.12             3063.016            3058.323            3058.323            3062.626            3058.713            10.104 
 317.52             2929.76             3063.061            3058.351            3058.351            3062.669            3058.742           -133.3008 
 317.47             3221.38             3062.969            3058.242            3058.242            3062.575            3058.635            158.4114 
 317.42             3313.93             3063.153            3058.409            3058.409            3062.758            3058.804            250.7773 
 317.37             3229.89             3063.43             3058.669            3058.669            3063.033            3059.066            166.4602 
 317.32             3162.64             3063.632            3058.855            3058.855            3063.234            3059.253            99.00781 
 317.27             3244.23             3063.774            3058.98             3058.98             3063.374            3059.381            180.4556 
 317.22             3134.69             3063.998            3059.187            3059.187            3063.596            3059.589            70.69214 
 317.17             3183.93             3064.121            3059.293            3059.293            3063.717            3059.696            119.8091 
 317.12             3126.92             3064.293            3059.448            3059.448            3063.888            3059.853            62.62671 
 317.07             3304.01             3064.414            3059.552            3059.552            3064.007            3059.958            239.5959 
 317.02             3062.64             3064.707            3059.827            3059.827            3064.298            3060.235           -2.066895 
 316.97             2991.58             3064.774            3059.877            3059.877            3064.364            3060.287           -73.19409 
 316.92             3104.47             3064.774            3059.859            3059.859            3064.362            3060.271            39.69556 
 316.87             2999.42             3064.881            3059.948            3059.948            3064.467            3060.362           -65.46118 
 316.82             3001.88             3064.889            3059.938            3059.938            3064.473            3060.354           -63.00879 
 316.77             2906.52             3064.898            3059.929            3059.929            3064.48             3060.347           -158.3779 
 316.72             3176.33             3064.814            3059.828            3059.828            3064.395            3060.247            111.5156 
 316.67             3295.48             3064.986            3059.981            3059.981            3064.565            3060.403            230.4939 
 316.62             3278.67             3065.275            3060.252            3060.252            3064.852            3060.676            213.3948 
 316.57             3218                3065.554            3060.513            3060.513            3065.129            3060.938            152.4458 
 316.52             3202.35             3065.781            3060.721            3060.721            3065.354            3061.148            136.5693 
 316.47             3170.04             3065.997            3060.919            3060.919            3065.568            3061.347            104.0435 
 316.42             3125.84             3066.185            3061.089            3061.089            3065.755            3061.519            59.65479 
 316.37             3056.17             3066.334            3061.219            3061.219            3065.902            3061.652           -10.16455 
 316.32             3183.39             3066.419            3061.285            3061.285            3065.984            3061.719            116.9709 
 316.27             3143.64             3066.626            3061.473            3061.473            3066.19             3061.91             77.01367 
 316.22             3111.35             3066.798            3061.626            3061.626            3066.36             3062.065            44.55176 
 316.17             3148.58             3066.942            3061.751            3061.751            3066.502            3062.192            81.6377 
 316.12             3081.38             3067.124            3061.913            3061.913            3066.681            3062.355            14.25635 
 316.07             3076.89             3067.243            3062.013            3062.013            3066.799            3062.458            9.646729 
 316.02             3096.08             3067.359            3062.11             3062.11             3066.913            3062.557            28.7207 
 315.97             3090.82             3067.495            3062.227            3062.227            3067.047            3062.675            23.32471 
 315.92             3090.52             3067.627            3062.339            3062.339            3067.177            3062.79             22.89258 
 315.87             3070.23             3067.761            3062.453            3062.453            3067.308            3062.905            2.469238 
 315.82             3195.33             3067.876            3062.548            3062.548            3067.421            3063.002            127.4541 
 315.77             3265.54             3068.111            3062.763            3062.763            3067.655            3063.22             197.4287 
 315.72             3081.83             3068.418            3063.05             3063.05             3067.959            3063.509            13.41211 
 315.67             3128.61             3068.554            3063.166            3063.166            3068.094            3063.627            60.05591 
 315.62             3371.5              3068.737            3063.328            3063.328            3068.274            3063.791            302.7634 
 315.57             3371.33             3069.154            3063.725            3063.725            3068.689            3064.19             302.1763 
 315.52             3163.44             3069.579            3064.129            3064.129            3069.112            3064.596            93.86133 
 315.47             3088.88             3069.813            3064.343            3064.343            3069.344            3064.812            19.06714 
 315.42             3152.79             3069.979            3064.488            3064.488            3069.507            3064.959            82.81152 
 315.37             3147.39             3070.207            3064.695            3064.695            3069.733            3065.169            77.18286 
 315.32             3115.23             3070.433            3064.9              3064.9              3069.957            3065.376            44.79688 
 315.27             3167.31             3070.632            3065.077            3065.077            3070.154            3065.555            96.67847 
 315.22             3055.07             3070.882            3065.306            3065.306            3070.402            3065.787           -15.81177 
 315.17             3154.74             3071.028            3065.431            3065.431            3070.545            3065.914            83.71191 
 315.12             3014.83             3071.27             3065.652            3065.652            3070.785            3066.137           -56.44019 
 315.07             3180.48             3071.382            3065.742            3065.742            3070.895            3066.229            109.0984 
 315.02             3270.95             3071.651            3065.99             3065.99             3071.162            3066.479            199.2986 
 314.97             3256.09             3072.011            3066.328            3066.328            3071.52             3066.82             184.0786 
 314.92             3262.86             3072.363            3066.657            3066.657            3071.869            3067.152            190.4968 
 314.87             2993.88             3072.727            3066.999            3066.999            3072.23             3067.495           -78.84692 
 314.82             3032.17             3072.839            3067.089            3067.089            3072.34             3067.587           -40.66895 
 314.77             3339.35             3072.987            3067.214            3067.214            3072.485            3067.715            266.3635 
 314.72             3236.91             3073.429            3067.634            3067.634            3072.925            3068.137            163.481 
 314.67             3177.57             3073.781            3067.963            3067.963            3073.275            3068.469            103.7893 
 314.62             3045.07             3074.081            3068.24             3068.24             3073.572            3068.749           -29.01074 
 314.57             3224.34             3074.258            3068.394            3068.394            3073.747            3068.905            150.0823 
 314.52             3072.47             3074.607            3068.72             3068.72             3074.094            3069.234           -2.137451 
 314.47             3204.53             3074.816            3068.906            3068.906            3074.3              3069.422            129.7141 
 314.42             3256.31             3075.153            3069.219            3069.219            3074.635            3069.738            181.1572 
 314.37             3353.81             3075.544            3069.587            3069.587            3075.023            3070.108            278.2664 
 314.32             3094.53             3076.033            3070.053            3070.053            3075.51             3070.576            18.49658 
 314.27             3198.18             3076.283            3070.279            3070.279            3075.757            3070.805            121.897 
 314.22             3180.33             3076.634            3070.606            3070.606            3076.105            3071.134            103.696 
 314.17             3228.43             3076.972            3070.92             3070.92             3076.441            3071.451            151.4578 
 314.12             3273.5              3077.36             3071.284            3071.284            3076.826            3071.817            196.1399 
 314.07             3077.4              3077.797            3071.696            3071.696            3077.26             3072.232           -.3969727 
 314.02             3189.86             3078.052            3071.927            3071.927            3077.513            3072.466            111.8081 
 313.97             3189.12             3078.417            3072.266            3072.266            3077.875            3072.808            110.7036 
